evaluations raw_y
1 2533.0000000000
2 3029.0000000000
21 3049.0000000000
53 3224.0000000000
57 3376.0000000000
103 3477.0000000000
105 3678.0000000000
173 3810.0000000000
194 3880.0000000000
198 3924.0000000000
225 3940.0000000000
242 4118.0000000000
289 4144.0000000000
312 4159.0000000000
323 4198.0000000000
365 4379.0000000000
424 4388.0000000000
432 4487.0000000000
466 4512.0000000000
487 4538.0000000000
510 4547.0000000000
518 4645.0000000000
533 4697.0000000000
579 4710.0000000000
608 4750.0000000000
633 4784.0000000000
662 4800.0000000000
688 4825.0000000000
781 4835.0000000000
823 4848.0000000000
884 4855.0000000000
916 4884.0000000000
987 4932.0000000000
994 4981.0000000000
1027 4984.0000000000
1052 4991.0000000000
1139 5010.0000000000
1170 5013.0000000000
1194 5016.0000000000
1242 5032.0000000000
1243 5035.0000000000
1460 5048.0000000000
1815 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2423.0000000000
2 2636.0000000000
9 3067.0000000000
11 3145.0000000000
40 3303.0000000000
68 3384.0000000000
100 3475.0000000000
123 3627.0000000000
136 3665.0000000000
152 3797.0000000000
177 4000.0000000000
200 4200.0000000000
289 4207.0000000000
305 4284.0000000000
333 4320.0000000000
342 4323.0000000000
367 4407.0000000000
394 4525.0000000000
444 4544.0000000000
458 4571.0000000000
470 4653.0000000000
501 4710.0000000000
624 4766.0000000000
681 4783.0000000000
732 4809.0000000000
742 4813.0000000000
756 4821.0000000000
776 4833.0000000000
804 4851.0000000000
815 4852.0000000000
841 4865.0000000000
842 4867.0000000000
843 4885.0000000000
862 4889.0000000000
886 4901.0000000000
898 4903.0000000000
938 4922.0000000000
1061 4928.0000000000
1075 4930.0000000000
1086 4946.0000000000
1112 4967.0000000000
1142 4976.0000000000
1155 4988.0000000000
1168 4994.0000000000
1185 5033.0000000000
1600 5046.0000000000
1799 5049.0000000000
1897 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2049.0000000000
2 2631.0000000000
3 3079.0000000000
15 3239.0000000000
46 3346.0000000000
92 3464.0000000000
126 3476.0000000000
130 3648.0000000000
151 3747.0000000000
154 3756.0000000000
174 3870.0000000000
220 4016.0000000000
252 4206.0000000000
328 4261.0000000000
345 4314.0000000000
362 4347.0000000000
398 4432.0000000000
434 4470.0000000000
472 4488.0000000000
487 4518.0000000000
510 4555.0000000000
533 4573.0000000000
541 4595.0000000000
594 4627.0000000000
656 4692.0000000000
719 4765.0000000000
782 4780.0000000000
792 4795.0000000000
813 4798.0000000000
861 4825.0000000000
894 4871.0000000000
933 4888.0000000000
1003 4891.0000000000
1042 4906.0000000000
1224 4922.0000000000
1229 4930.0000000000
1273 4935.0000000000
1284 4962.0000000000
1299 4986.0000000000
1443 4987.0000000000
1484 5016.0000000000
1518 5017.0000000000
1605 5019.0000000000
1628 5031.0000000000
1632 5040.0000000000
1634 5041.0000000000
1740 5050.0000000000
100000 4785.0000000000
evaluations raw_y
1 3057.0000000000
64 3105.0000000000
77 3236.0000000000
123 3273.0000000000
124 3329.0000000000
147 3517.0000000000
181 3791.0000000000
223 3889.0000000000
274 3936.0000000000
284 3987.0000000000
307 3989.0000000000
322 4027.0000000000
364 4052.0000000000
368 4056.0000000000
379 4067.0000000000
403 4122.0000000000
405 4135.0000000000
430 4206.0000000000
462 4237.0000000000
465 4290.0000000000
520 4345.0000000000
542 4366.0000000000
567 4369.0000000000
568 4390.0000000000
609 4402.0000000000
614 4413.0000000000
636 4414.0000000000
640 4457.0000000000
702 4485.0000000000
828 4493.0000000000
830 4519.0000000000
834 4542.0000000000
852 4549.0000000000
862 4576.0000000000
910 4620.0000000000
1004 4656.0000000000
1029 4686.0000000000
1033 4721.0000000000
1069 4768.0000000000
1093 4772.0000000000
1114 4783.0000000000
1128 4813.0000000000
1177 4819.0000000000
1190 4899.0000000000
1343 4941.0000000000
1383 4952.0000000000
1454 4977.0000000000
1637 5014.0000000000
1705 5023.0000000000
1821 5027.0000000000
1926 5029.0000000000
1954 5033.0000000000
1973 5050.0000000000
100000 5048.0000000000
evaluations raw_y
1 2618.0000000000
2 2832.0000000000
14 2878.0000000000
42 2991.0000000000
48 3139.0000000000
51 3199.0000000000
58 3233.0000000000
63 3241.0000000000
84 3248.0000000000
86 3364.0000000000
109 3365.0000000000
133 3399.0000000000
143 3437.0000000000
169 3603.0000000000
184 3640.0000000000
185 3670.0000000000
194 3783.0000000000
213 3794.0000000000
234 3943.0000000000
242 3976.0000000000
251 4055.0000000000
299 4086.0000000000
304 4117.0000000000
321 4254.0000000000
379 4296.0000000000
404 4445.0000000000
408 4517.0000000000
483 4529.0000000000
543 4530.0000000000
546 4575.0000000000
561 4595.0000000000
589 4628.0000000000
635 4641.0000000000
638 4658.0000000000
670 4659.0000000000
674 4678.0000000000
722 4679.0000000000
734 4688.0000000000
759 4694.0000000000
769 4730.0000000000
786 4734.0000000000
826 4759.0000000000
889 4779.0000000000
931 4795.0000000000
952 4820.0000000000
964 4828.0000000000
1024 4872.0000000000
1069 4882.0000000000
1202 4900.0000000000
1290 4923.0000000000
1300 4958.0000000000
1327 4968.0000000000
1633 5017.0000000000
1665 5020.0000000000
1764 5044.0000000000
1867 5049.0000000000
2065 5050.0000000000
100000 4984.0000000000
evaluations raw_y
1 2401.0000000000
2 2424.0000000000
4 2969.0000000000
9 3212.0000000000
45 3361.0000000000
70 3428.0000000000
88 3458.0000000000
89 3779.0000000000
145 3873.0000000000
194 3949.0000000000
230 4264.0000000000
309 4320.0000000000
329 4338.0000000000
359 4440.0000000000
387 4441.0000000000
402 4457.0000000000
408 4519.0000000000
450 4524.0000000000
459 4539.0000000000
510 4603.0000000000
559 4616.0000000000
562 4629.0000000000
584 4635.0000000000
592 4640.0000000000
603 4683.0000000000
616 4706.0000000000
658 4732.0000000000
689 4733.0000000000
697 4750.0000000000
742 4777.0000000000
778 4810.0000000000
808 4813.0000000000
819 4840.0000000000
888 4854.0000000000
903 4861.0000000000
963 4862.0000000000
971 4876.0000000000
983 4883.0000000000
989 4897.0000000000
1018 4926.0000000000
1140 4952.0000000000
1186 4962.0000000000
1203 4963.0000000000
1223 4983.0000000000
1281 4986.0000000000
1318 5013.0000000000
1372 5017.0000000000
1415 5045.0000000000
1580 5049.0000000000
1847 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 1975.0000000000
2 2193.0000000000
3 2795.0000000000
7 2901.0000000000
10 2959.0000000000
15 3142.0000000000
16 3407.0000000000
70 3439.0000000000
109 3477.0000000000
126 3484.0000000000
129 3724.0000000000
190 3782.0000000000
203 3787.0000000000
218 3835.0000000000
239 3875.0000000000
244 4045.0000000000
290 4080.0000000000
309 4178.0000000000
330 4190.0000000000
340 4203.0000000000
365 4270.0000000000
397 4307.0000000000
412 4326.0000000000
415 4440.0000000000
518 4488.0000000000
526 4509.0000000000
532 4521.0000000000
543 4592.0000000000
606 4626.0000000000
653 4716.0000000000
689 4722.0000000000
784 4751.0000000000
882 4752.0000000000
884 4763.0000000000
893 4764.0000000000
925 4765.0000000000
935 4771.0000000000
953 4778.0000000000
988 4792.0000000000
1012 4798.0000000000
1032 4827.0000000000
1051 4842.0000000000
1054 4898.0000000000
1085 4914.0000000000
1159 4928.0000000000
1207 4954.0000000000
1274 4968.0000000000
1370 4975.0000000000
1411 4978.0000000000
1438 4985.0000000000
1529 5012.0000000000
1704 5034.0000000000
1716 5035.0000000000
1743 5037.0000000000
1966 5040.0000000000
1999 5049.0000000000
2489 5050.0000000000
100000 5033.0000000000
evaluations raw_y
1 2965.0000000000
23 3133.0000000000
78 3219.0000000000
99 3524.0000000000
112 3525.0000000000
116 3625.0000000000
192 3628.0000000000
229 3717.0000000000
242 3736.0000000000
257 3746.0000000000
259 3802.0000000000
271 3803.0000000000
274 3861.0000000000
309 4004.0000000000
353 4059.0000000000
372 4091.0000000000
432 4147.0000000000
470 4162.0000000000
492 4275.0000000000
529 4316.0000000000
554 4322.0000000000
584 4384.0000000000
623 4418.0000000000
633 4431.0000000000
636 4460.0000000000
702 4504.0000000000
705 4520.0000000000
712 4529.0000000000
717 4593.0000000000
760 4637.0000000000
817 4686.0000000000
858 4701.0000000000
922 4702.0000000000
940 4704.0000000000
959 4749.0000000000
1081 4752.0000000000
1088 4823.0000000000
1111 4828.0000000000
1155 4861.0000000000
1177 4864.0000000000
1226 4882.0000000000
1282 4884.0000000000
1382 4888.0000000000
1383 4893.0000000000
1475 4906.0000000000
1525 4926.0000000000
1548 4935.0000000000
1570 4946.0000000000
1644 4947.0000000000
1663 4961.0000000000
1673 4963.0000000000
1906 4975.0000000000
1920 4979.0000000000
1936 5007.0000000000
1944 5026.0000000000
2041 5038.0000000000
2155 5042.0000000000
2261 5050.0000000000
100000 4970.0000000000
evaluations raw_y
1 2416.0000000000
3 3018.0000000000
14 3136.0000000000
22 3200.0000000000
46 3221.0000000000
52 3360.0000000000
95 3443.0000000000
101 3464.0000000000
132 3635.0000000000
148 3639.0000000000
170 3717.0000000000
190 3803.0000000000
200 3947.0000000000
264 3964.0000000000
276 4071.0000000000
295 4209.0000000000
325 4430.0000000000
438 4512.0000000000
482 4572.0000000000
489 4574.0000000000
505 4581.0000000000
525 4654.0000000000
559 4656.0000000000
574 4696.0000000000
600 4774.0000000000
650 4799.0000000000
717 4814.0000000000
720 4833.0000000000
765 4834.0000000000
771 4837.0000000000
789 4871.0000000000
962 4892.0000000000
1009 4899.0000000000
1053 4907.0000000000
1094 4921.0000000000
1149 4938.0000000000
1190 4942.0000000000
1207 4945.0000000000
1227 4959.0000000000
1301 4966.0000000000
1319 4980.0000000000
1429 5009.0000000000
1439 5023.0000000000
1493 5030.0000000000
1524 5041.0000000000
1630 5042.0000000000
1655 5043.0000000000
1707 5047.0000000000
1759 5049.0000000000
1789 5050.0000000000
100000 4995.0000000000
evaluations raw_y
1 2625.0000000000
4 2687.0000000000
5 2777.0000000000
13 2944.0000000000
16 3084.0000000000
52 3186.0000000000
70 3396.0000000000
139 3620.0000000000
153 3630.0000000000
158 3689.0000000000
178 3822.0000000000
220 3876.0000000000
240 3888.0000000000
250 4119.0000000000
312 4153.0000000000
355 4296.0000000000
417 4329.0000000000
471 4346.0000000000
479 4385.0000000000
485 4458.0000000000
523 4519.0000000000
547 4533.0000000000
581 4545.0000000000
614 4553.0000000000
636 4605.0000000000
686 4623.0000000000
691 4666.0000000000
714 4739.0000000000
801 4742.0000000000
830 4764.0000000000
863 4783.0000000000
875 4784.0000000000
899 4809.0000000000
905 4811.0000000000
937 4826.0000000000
970 4830.0000000000
1016 4849.0000000000
1064 4867.0000000000
1113 4871.0000000000
1130 4934.0000000000
1312 4942.0000000000
1387 4956.0000000000
1397 4968.0000000000
1408 4976.0000000000
1476 4982.0000000000
1715 4983.0000000000
1743 4995.0000000000
1966 4999.0000000000
2034 5031.0000000000
2046 5034.0000000000
2059 5038.0000000000
2438 5040.0000000000
2787 5050.0000000000
100000 4960.0000000000
