evaluations raw_y
1 0.8093234056
2 0.8454514711
3 1.1441647597
4 1.2569130216
5 1.3804527885
6 1.6181229773
88 1.6393442623
192 1.6926201760
251 1.9669551534
330 2.0815986678
347 2.2583559169
371 2.3212627669
425 2.3832221163
469 2.4108003857
481 2.4925224327
543 2.5227043391
568 2.5799793602
595 2.6567481403
644 2.7085590466
754 2.7685492802
855 2.8506271380
861 2.8901734104
1081 2.8968713789
1147 2.9515938607
1370 3.0084235860
1396 3.1055900621
1448 3.2010243278
1504 3.2594524120
1819 3.2679738562
1894 3.2938076416
1912 3.3738191633
1966 3.4770514604
1988 3.5663338088
2061 3.5971223022
2406 3.7147102526
2582 3.7936267071
2679 3.9745627981
3258 3.9872408293
3484 4.0000000000
4900 4.2301184433
100000 3.3829499323
evaluations raw_y
1 1.2189176012
2 1.3192612137
48 1.5441630636
152 1.5615240475
243 1.5634771732
264 1.6414970453
272 1.8155410312
317 1.9920318725
364 1.9952114924
382 2.0885547201
405 2.1987686895
463 2.2956841139
490 2.3126734505
565 2.4679170780
575 2.5536261491
592 2.6511134677
769 2.7382256298
1008 2.7442371021
1020 2.8058361392
1046 2.8702640643
1172 2.9308323564
1231 3.0084235860
1367 3.0303030303
1402 3.1766200762
1476 3.1928480204
1502 3.2175032175
1515 3.2851511170
1821 3.3467202142
1844 3.4199726402
1966 3.6284470247
2041 3.6603221083
2432 3.8167938931
3734 3.9494470774
4195 4.0650406504
100000 3.6496350365
evaluations raw_y
1 1.2722646310
17 1.3698630137
19 1.3835085778
23 1.4392630973
26 1.4961101137
97 1.7205781142
156 1.7921146953
222 1.9638648861
267 2.1385799829
361 2.3430178069
477 2.4108003857
507 2.5380710660
608 2.7322404372
700 2.7870680045
992 2.8702640643
1099 3.1367628607
1213 3.1928480204
1411 3.5868005739
2143 3.6818851252
2610 3.7369207773
4157 3.7481259370
4361 3.7821482602
4673 3.8167938931
100000 3.0826140567
evaluations raw_y
1 1.0208248265
2 1.0473397570
3 1.1865211201
4 1.2481278083
8 1.4943215780
61 1.5033072760
126 1.9215987702
245 1.9364833462
262 2.0781379884
312 2.0990764064
320 2.1682567216
387 2.2461814915
394 2.2831050228
412 2.2999080037
435 2.3126734505
468 2.4437927664
591 2.4875621891
596 2.5484199796
628 2.5853154085
717 2.5906735751
768 2.6288117771
843 2.6343519494
1133 2.7808676307
1551 2.9655990510
1836 3.0156815440
1932 3.0229746070
1951 3.0376670717
11281 3.0826140567
11489 3.0902348578
11537 3.1055900621
11711 3.1289111389
17299 3.2765399738
17354 3.5260930889
17548 3.5765379113
23186 3.8402457757
100000 3.8402457757
evaluations raw_y
1 1.1633317822
5 1.4731879788
9 1.6202203500
32 1.7397355602
191 1.9305019305
192 2.2461814915
308 2.4342745862
396 2.6795284030
506 2.7502750275
517 2.8184892897
632 2.9515938607
663 3.0084235860
929 3.2509752926
15653 3.2679738562
15769 3.5561877667
41442 3.5971223022
41555 3.7481259370
41832 3.9001560062
42471 3.9619651347
50614 4.1186161450
100000 4.1186161450
evaluations raw_y
1 1.0351966874
2 1.5673981191
63 1.6181229773
136 2.0210185934
223 2.0576131687
332 2.0712510356
336 2.1312872975
366 2.4630541872
490 2.4975024975
552 2.5075225677
611 2.6232948583
759 2.7563395810
763 2.7685492802
797 2.9308323564
951 3.0674846626
1021 3.0902348578
1047 3.2425421530
1084 3.3377837116
38294 3.4106412005
38668 3.4578146611
38788 3.5063113604
39376 3.7707390649
39685 4.0518638574
100000 2.9308323564
evaluations raw_y
1 1.0615711253
2 1.1008366358
5 1.4392630973
17 1.5087507544
34 1.5693659761
55 1.6015374760
143 1.7253278123
233 1.8782870023
278 1.9638648861
309 1.9888623707
330 2.3430178069
452 2.4437927664
463 2.6123301985
619 2.6624068158
704 2.6968716289
754 2.7262813522
811 2.7932960894
813 2.8248587571
824 2.8901734104
967 3.3112582781
1218 3.3557046980
1360 3.5161744023
1377 3.8402457757
1660 3.8520801233
1736 3.8880248834
1835 3.9246467818
1851 3.9370078740
2222 4.0000000000
19733 4.1322314050
19841 4.2589437819
100000 4.2589437819
evaluations raw_y
1 0.8659508140
2 1.0473397570
5 1.3594344753
15 1.3728720483
19 1.7692852088
51 2.0275750203
321 2.0644095789
357 2.1026072330
398 2.1496130696
445 2.2065313327
487 2.3255813953
491 2.5746652935
501 2.6567481403
624 2.7262813522
637 2.8968713789
770 2.9308323564
912 2.9585798817
1378 3.0084235860
1493 3.2679738562
1589 3.3647375505
1630 3.5868005739
1724 3.9872408293
100000 3.9872408293
evaluations raw_y
1 1.1410314925
5 1.1709601874
6 1.3192612137
15 1.3835085778
21 1.5069318867
50 1.6479894529
69 1.8450184502
258 1.9215987702
267 2.4485798237
343 2.4630541872
386 2.5227043391
431 2.8376844495
566 3.0826140567
851 3.1367628607
934 3.2258064516
1707 3.2341526520
2556 3.2938076416
2589 3.3738191633
2687 3.4578146611
2958 3.5971223022
3096 3.6284470247
3182 3.6927621861
3196 3.7593984962
3215 3.9619651347
4395 4.0257648953
100000 2.7932960894
evaluations raw_y
1 1.2201073694
9 1.4293882218
79 1.9364833462
224 2.0644095789
333 2.1949078139
365 2.4390243902
381 2.6232948583
622 3.0674846626
651 3.1685678074
851 3.2594524120
913 3.3557046980
1079 4.1186161450
100000 4.1186161450
