evaluations raw_y
1 49.0000000000
2 59.0000000000
8 61.0000000000
30 62.0000000000
43 67.0000000000
98 70.0000000000
142 72.0000000000
148 73.0000000000
184 75.0000000000
188 77.0000000000
298 78.0000000000
355 82.0000000000
443 83.0000000000
490 84.0000000000
555 85.0000000000
599 86.0000000000
653 87.0000000000
816 88.0000000000
876 89.0000000000
879 90.0000000000
928 91.0000000000
954 92.0000000000
1127 93.0000000000
1205 94.0000000000
1343 95.0000000000
1465 96.0000000000
1570 97.0000000000
1738 98.0000000000
2191 99.0000000000
2382 100.0000000000
100000 98.0000000000
evaluations raw_y
1 44.0000000000
2 49.0000000000
4 55.0000000000
8 63.0000000000
84 68.0000000000
163 69.0000000000
238 70.0000000000
243 71.0000000000
255 72.0000000000
271 78.0000000000
353 79.0000000000
358 81.0000000000
403 83.0000000000
518 84.0000000000
544 85.0000000000
609 86.0000000000
714 87.0000000000
726 88.0000000000
954 89.0000000000
1036 90.0000000000
1243 91.0000000000
1339 93.0000000000
1409 94.0000000000
1479 95.0000000000
1575 96.0000000000
1669 97.0000000000
1906 98.0000000000
1976 99.0000000000
2247 100.0000000000
100000 98.0000000000
evaluations raw_y
1 48.0000000000
2 49.0000000000
3 54.0000000000
13 59.0000000000
16 60.0000000000
63 62.0000000000
83 63.0000000000
84 65.0000000000
117 67.0000000000
168 70.0000000000
185 72.0000000000
217 76.0000000000
247 79.0000000000
306 80.0000000000
342 81.0000000000
393 82.0000000000
477 83.0000000000
512 84.0000000000
513 85.0000000000
619 86.0000000000
662 87.0000000000
731 88.0000000000
745 89.0000000000
783 90.0000000000
810 91.0000000000
904 92.0000000000
1035 93.0000000000
1249 94.0000000000
1352 96.0000000000
1413 97.0000000000
1524 98.0000000000
1595 99.0000000000
1911 100.0000000000
100000 99.0000000000
evaluations raw_y
1 51.0000000000
5 59.0000000000
16 64.0000000000
48 65.0000000000
82 69.0000000000
148 70.0000000000
173 72.0000000000
210 73.0000000000
260 74.0000000000
266 75.0000000000
291 77.0000000000
293 78.0000000000
325 81.0000000000
369 83.0000000000
534 84.0000000000
549 85.0000000000
580 86.0000000000
637 87.0000000000
665 88.0000000000
740 89.0000000000
844 90.0000000000
884 91.0000000000
986 92.0000000000
1309 93.0000000000
1444 94.0000000000
1481 95.0000000000
1589 96.0000000000
1750 97.0000000000
1818 98.0000000000
2057 99.0000000000
2301 100.0000000000
100000 99.0000000000
evaluations raw_y
1 56.0000000000
5 59.0000000000
47 61.0000000000
64 62.0000000000
108 64.0000000000
109 66.0000000000
129 68.0000000000
184 69.0000000000
186 70.0000000000
215 71.0000000000
233 72.0000000000
254 74.0000000000
280 76.0000000000
286 78.0000000000
293 80.0000000000
434 82.0000000000
493 83.0000000000
594 84.0000000000
636 86.0000000000
728 87.0000000000
804 88.0000000000
933 89.0000000000
1004 90.0000000000
1228 91.0000000000
1310 92.0000000000
1430 93.0000000000
1537 94.0000000000
1688 95.0000000000
1717 96.0000000000
1856 97.0000000000
2069 98.0000000000
2334 99.0000000000
2546 100.0000000000
100000 100.0000000000
evaluations raw_y
1 57.0000000000
8 62.0000000000
18 63.0000000000
40 66.0000000000
96 67.0000000000
117 69.0000000000
118 70.0000000000
138 71.0000000000
170 72.0000000000
196 73.0000000000
197 76.0000000000
264 80.0000000000
322 81.0000000000
328 82.0000000000
347 83.0000000000
365 84.0000000000
418 87.0000000000
525 88.0000000000
603 89.0000000000
617 90.0000000000
666 91.0000000000
681 92.0000000000
813 93.0000000000
918 94.0000000000
1145 95.0000000000
1234 96.0000000000
1280 97.0000000000
1368 98.0000000000
1496 99.0000000000
1844 100.0000000000
100000 99.0000000000
evaluations raw_y
1 56.0000000000
4 60.0000000000
38 63.0000000000
47 64.0000000000
78 68.0000000000
131 70.0000000000
179 71.0000000000
203 77.0000000000
268 80.0000000000
335 81.0000000000
362 83.0000000000
389 86.0000000000
450 87.0000000000
548 89.0000000000
622 90.0000000000
811 91.0000000000
893 92.0000000000
1042 93.0000000000
1133 94.0000000000
1210 95.0000000000
1369 96.0000000000
1535 97.0000000000
1619 98.0000000000
1728 100.0000000000
100000 100.0000000000
evaluations raw_y
1 60.0000000000
31 61.0000000000
56 64.0000000000
61 65.0000000000
118 68.0000000000
122 71.0000000000
184 73.0000000000
233 75.0000000000
242 76.0000000000
280 78.0000000000
331 79.0000000000
350 81.0000000000
384 82.0000000000
462 83.0000000000
509 84.0000000000
549 85.0000000000
587 86.0000000000
655 87.0000000000
667 88.0000000000
757 89.0000000000
778 90.0000000000
822 91.0000000000
940 92.0000000000
1039 93.0000000000
1087 94.0000000000
1146 95.0000000000
1272 96.0000000000
1435 97.0000000000
