evaluations raw_y
1 -1176.0000000000
8 -1147.0000000000
25 -1050.0000000000
38 -933.0000000000
81 -913.0000000000
99 -874.0000000000
109 -846.0000000000
124 -807.0000000000
127 -797.0000000000
135 -689.0000000000
159 -543.0000000000
174 -514.0000000000
292 -505.0000000000
301 -504.0000000000
334 -486.0000000000
336 -485.0000000000
350 -447.0000000000
362 -388.0000000000
379 -379.0000000000
395 -350.0000000000
409 -340.0000000000
424 -320.0000000000
427 -301.0000000000
471 -291.0000000000
498 -252.0000000000
508 -242.0000000000
551 -224.0000000000
567 -204.0000000000
588 -185.0000000000
640 -167.0000000000
652 -156.0000000000
672 -137.0000000000
695 -127.0000000000
713 -118.0000000000
753 -109.0000000000
754 -100.0000000000
756 -90.0000000000
831 -80.0000000000
915 -71.0000000000
938 -52.0000000000
967 -43.0000000000
1010 -42.0000000000
1024 -32.0000000000
1032 -23.0000000000
1052 -15.0000000000
1115 -14.0000000000
1161 -13.0000000000
1178 -5.0000000000
1228 -4.0000000000
1300 -3.0000000000
1393 5.0000000000
1411 6.0000000000
1913 7.0000000000
2070 8.0000000000
2228 9.0000000000
100000 -39.0000000000
evaluations raw_y
1 -1674.0000000000
2 -1381.0000000000
7 -1059.0000000000
28 -884.0000000000
49 -817.0000000000
80 -729.0000000000
112 -671.0000000000
157 -651.0000000000
159 -631.0000000000
179 -603.0000000000
196 -573.0000000000
214 -563.0000000000
215 -534.0000000000
222 -408.0000000000
315 -398.0000000000
328 -388.0000000000
341 -379.0000000000
358 -252.0000000000
426 -243.0000000000
453 -233.0000000000
481 -223.0000000000
489 -175.0000000000
502 -155.0000000000
525 -147.0000000000
552 -137.0000000000
554 -99.0000000000
613 -89.0000000000
654 -60.0000000000
689 -51.0000000000
766 -42.0000000000
771 -33.0000000000
824 -32.0000000000
859 -23.0000000000
946 -14.0000000000
961 -13.0000000000
1052 -4.0000000000
1067 -3.0000000000
1194 -2.0000000000
1204 4.0000000000
1224 5.0000000000
1227 6.0000000000
1306 7.0000000000
1320 8.0000000000
1717 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1351.0000000000
4 -1215.0000000000
5 -914.0000000000
37 -796.0000000000
56 -748.0000000000
102 -739.0000000000
134 -738.0000000000
150 -553.0000000000
191 -388.0000000000
291 -379.0000000000
308 -311.0000000000
334 -253.0000000000
359 -204.0000000000
380 -156.0000000000
440 -147.0000000000
473 -127.0000000000
475 -118.0000000000
525 -109.0000000000
531 -80.0000000000
562 -41.0000000000
720 -32.0000000000
777 -23.0000000000
800 -22.0000000000
828 -13.0000000000
924 -12.0000000000
938 -3.0000000000
944 6.0000000000
1056 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -1527.0000000000
2 -962.0000000000
17 -923.0000000000
28 -875.0000000000
66 -845.0000000000
90 -768.0000000000
134 -738.0000000000
196 -573.0000000000
197 -554.0000000000
260 -534.0000000000
277 -448.0000000000
290 -428.0000000000
306 -418.0000000000
336 -399.0000000000
356 -379.0000000000
371 -350.0000000000
397 -340.0000000000
400 -321.0000000000
424 -225.0000000000
523 -224.0000000000
532 -186.0000000000
604 -167.0000000000
632 -137.0000000000
636 -128.0000000000
677 -118.0000000000
705 -109.0000000000
800 -100.0000000000
864 -90.0000000000
888 -81.0000000000
892 -71.0000000000
937 -61.0000000000
963 -52.0000000000
1019 -33.0000000000
1067 -24.0000000000
1122 -15.0000000000
1219 -14.0000000000
1246 -6.0000000000
1276 -5.0000000000
1335 4.0000000000
1423 5.0000000000
1511 6.0000000000
1639 7.0000000000
2044 8.0000000000
100000 -31.0000000000
evaluations raw_y
1 -1420.0000000000
4 -1332.0000000000
5 -1020.0000000000
9 -991.0000000000
48 -806.0000000000
98 -679.0000000000
130 -670.0000000000
163 -641.0000000000
199 -592.0000000000
