evaluations raw_y
1 5.8000000000
2 6.0000000000
3 7.8000000000
11 8.0000000000
12 8.6000000000
34 9.4000000000
108 10.2000000000
134 10.6000000000
148 10.8000000000
221 11.0000000000
243 11.4000000000
290 11.8000000000
348 12.0000000000
383 12.8000000000
401 13.0000000000
422 13.2000000000
448 13.4000000000
455 13.6000000000
556 13.8000000000
586 14.0000000000
665 14.2000000000
742 14.4000000000
805 14.6000000000
876 14.8000000000
962 15.0000000000
1027 15.2000000000
1087 15.4000000000
1185 15.6000000000
1243 15.8000000000
1731 16.0000000000
1989 16.2000000000
100000 16.2000000000
evaluations raw_y
1 7.4000000000
2 8.2000000000
9 8.4000000000
62 9.8000000000
115 10.6000000000
188 11.2000000000
231 11.6000000000
300 12.0000000000
374 12.6000000000
389 12.8000000000
443 13.0000000000
500 13.2000000000
556 13.4000000000
621 13.6000000000
694 13.8000000000
753 14.0000000000
802 14.2000000000
864 14.4000000000
969 14.6000000000
1035 14.8000000000
1126 15.0000000000
1153 15.2000000000
1311 15.4000000000
1434 15.6000000000
1493 15.8000000000
1569 16.0000000000
1871 16.2000000000
2522 16.4000000000
100000 16.2000000000
evaluations raw_y
1 7.4000000000
4 8.0000000000
23 8.6000000000
45 9.0000000000
59 9.6000000000
171 10.0000000000
227 10.8000000000
314 11.2000000000
353 11.4000000000
362 11.8000000000
426 12.0000000000
502 12.4000000000
507 12.6000000000
567 13.0000000000
627 13.2000000000
773 13.4000000000
842 13.6000000000
876 13.8000000000
973 14.0000000000
1014 14.2000000000
1174 14.4000000000
1233 14.6000000000
1375 14.8000000000
1409 15.0000000000
1609 15.2000000000
1734 15.4000000000
1939 15.6000000000
2065 15.8000000000
2117 16.0000000000
2201 16.2000000000
2225 16.4000000000
100000 16.4000000000
evaluations raw_y
1 7.8000000000
11 9.2000000000
48 9.4000000000
58 9.6000000000
75 10.2000000000
86 10.6000000000
169 11.6000000000
208 12.2000000000
357 12.4000000000
392 12.8000000000
436 13.0000000000
463 13.4000000000
