evaluations raw_y
1 -0.4971130580
7 -0.4864479827
11 -0.4759726070
31 -0.4752596276
41 -0.4547396754
48 -0.4458136268
68 -0.4456458229
89 -0.4378654839
92 -0.4303189834
96 -0.4182388908
128 -0.4100144271
165 -0.4050625434
180 -0.4004199889
215 -0.3969209137
262 -0.3753549914
343 -0.3709310784
358 -0.3702505175
369 -0.3659282063
391 -0.3561648865
415 -0.3533115381
433 -0.3528565406
454 -0.3423460115
496 -0.3406460160
530 -0.3389755271
534 -0.3342315582
612 -0.3285139210
658 -0.3282382684
675 -0.3241264388
693 -0.3240000334
730 -0.3239195293
773 -0.3237931238
796 -0.3229910215
809 -0.3227841120
840 -0.3215538218
927 -0.3212222478
935 -0.3205077890
965 -0.3179936685
969 -0.3178672630
1004 -0.3152433785
1028 -0.3139825825
1034 -0.3127110742
1052 -0.3125080673
1093 -0.3122992332
1110 -0.3111144729
1113 -0.3086233867
1123 -0.3070203044
1268 -0.3070119193
1307 -0.3062422128
1426 -0.3009225770
1507 -0.3009141918
1526 -0.3001602792
1565 -0.3001518941
1730 -0.2994401973
1741 -0.2986862846
1819 -0.2986778995
1892 -0.2981080156
2311 -0.2958002651
100000 -0.2958002651
evaluations raw_y
1 -0.5094976607
4 -0.4971232946
22 -0.4872373177
31 -0.4614785221
69 -0.4594086057
93 -0.4462393564
114 -0.4372540978
135 -0.4359843054
142 -0.4172436751
165 -0.4126353791
218 -0.4070211402
220 -0.4023219170
253 -0.3830312524
335 -0.3802654013
342 -0.3774976966
351 -0.3711481536
379 -0.3707806593
399 -0.3693631867
420 -0.3685152953
426 -0.3611926678
445 -0.3558598835
460 -0.3558104305
490 -0.3527579386
544 -0.3501577229
568 -0.3480104386
591 -0.3450009711
675 -0.3441991300
706 -0.3435679784
719 -0.3379240168
742 -0.3352698868
776 -0.3350089894
781 -0.3319965831
827 -0.3308866201
828 -0.3301937017
864 -0.3297347467
896 -0.3254691408
962 -0.3251927100
986 -0.3217050478
1099 -0.3209032068
1289 -0.3185428767
1310 -0.3182188384
1569 -0.3177491711
1572 -0.3169473301
1672 -0.3161850323
1722 -0.3154069407
1941 -0.3149974974
1957 -0.3146659234
2420 -0.3128945444
5403 -0.3127767368
5532 -0.3112961706
5542 -0.3074175411
10811 -0.3055788562
47364 -0.3033619239
47383 -0.3021011279
54959 -0.3005125265
55229 -0.3003861210
55819 -0.2950664852
