evaluations raw_y
1 1.0000000000
3 2.0000000000
14 3.0000000000
22 4.0000000000
42 5.0000000000
49 7.0000000000
77 9.0000000000
119 13.0000000000
141 14.0000000000
170 17.0000000000
344 19.0000000000
381 21.0000000000
597 23.0000000000
663 24.0000000000
877 25.0000000000
1093 26.0000000000
1194 28.0000000000
1394 29.0000000000
1615 35.0000000000
1935 38.0000000000
2602 39.0000000000
2715 42.0000000000
2786 44.0000000000
2915 46.0000000000
3152 47.0000000000
3404 48.0000000000
3743 49.0000000000
3883 50.0000000000
4057 54.0000000000
4069 55.0000000000
4382 56.0000000000
4538 58.0000000000
4660 60.0000000000
4962 61.0000000000
5070 65.0000000000
5405 66.0000000000
5455 68.0000000000
5894 70.0000000000
6058 71.0000000000
6287 72.0000000000
6409 73.0000000000
6846 78.0000000000
7184 83.0000000000
7291 86.0000000000
7641 90.0000000000
7828 96.0000000000
8035 97.0000000000
8419 99.0000000000
9028 100.0000000000
100000 6.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
7 3.0000000000
20 5.0000000000
47 7.0000000000
81 11.0000000000
134 14.0000000000
253 23.0000000000
391 25.0000000000
661 27.0000000000
795 29.0000000000
868 32.0000000000
1036 34.0000000000
1227 35.0000000000
1309 40.0000000000
1582 42.0000000000
2364 44.0000000000
2438 45.0000000000
2663 46.0000000000
2926 47.0000000000
3123 49.0000000000
3246 53.0000000000
3463 54.0000000000
3556 55.0000000000
3611 59.0000000000
3938 60.0000000000
4276 62.0000000000
4477 66.0000000000
5184 69.0000000000
5447 71.0000000000
6127 73.0000000000
6298 74.0000000000
6672 75.0000000000
6775 77.0000000000
6885 78.0000000000
6914 79.0000000000
7190 80.0000000000
7411 98.0000000000
8714 99.0000000000
9061 100.0000000000
100000 45.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
4 2.0000000000
9 4.0000000000
43 9.0000000000
47 10.0000000000
107 11.0000000000
115 12.0000000000
204 13.0000000000
370 17.0000000000
377 18.0000000000
