evaluations raw_y
1 2483.0000000000
4 2554.0000000000
9 2595.0000000000
12 2751.0000000000
17 2960.0000000000
36 3442.0000000000
74 3694.0000000000
133 3769.0000000000
185 3800.0000000000
200 3806.0000000000
245 3862.0000000000
257 3873.0000000000
259 3917.0000000000
275 3969.0000000000
278 4136.0000000000
306 4154.0000000000
318 4175.0000000000
346 4209.0000000000
385 4259.0000000000
411 4412.0000000000
479 4420.0000000000
506 4466.0000000000
523 4474.0000000000
545 4481.0000000000
568 4482.0000000000
570 4489.0000000000
584 4517.0000000000
597 4527.0000000000
625 4540.0000000000
642 4565.0000000000
673 4605.0000000000
704 4638.0000000000
733 4644.0000000000
787 4684.0000000000
807 4747.0000000000
894 4809.0000000000
945 4813.0000000000
959 4833.0000000000
970 4838.0000000000
973 4848.0000000000
982 4871.0000000000
1006 4873.0000000000
1028 4879.0000000000
1034 4889.0000000000
1064 4890.0000000000
1117 4923.0000000000
1131 4932.0000000000
1182 4952.0000000000
1216 4989.0000000000
1221 4990.0000000000
1249 4994.0000000000
1357 5002.0000000000
1389 5018.0000000000
1452 5021.0000000000
1477 5024.0000000000
1524 5032.0000000000
1560 5040.0000000000
1658 5043.0000000000
1699 5046.0000000000
1701 5049.0000000000
2452 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2570.0000000000
3 3050.0000000000
7 3060.0000000000
29 3153.0000000000
31 3329.0000000000
68 3753.0000000000
115 3761.0000000000
139 3800.0000000000
177 3927.0000000000
190 3963.0000000000
226 4081.0000000000
233 4138.0000000000
256 4183.0000000000
267 4365.0000000000
327 4367.0000000000
357 4404.0000000000
366 4462.0000000000
422 4470.0000000000
426 4475.0000000000
429 4558.0000000000
473 4587.0000000000
498 4603.0000000000
540 4613.0000000000
571 4655.0000000000
653 4664.0000000000
680 4698.0000000000
689 4719.0000000000
709 4768.0000000000
733 4782.0000000000
754 4817.0000000000
756 4824.0000000000
772 4864.0000000000
780 4915.0000000000
810 4919.0000000000
820 4935.0000000000
977 4956.0000000000
1015 4978.0000000000
1053 4999.0000000000
1139 5001.0000000000
1267 5011.0000000000
1375 5035.0000000000
1542 5041.0000000000
1651 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2870.0000000000
4 3118.0000000000
23 3206.0000000000
53 3210.0000000000
56 3220.0000000000
64 3405.0000000000
90 3465.0000000000
114 3554.0000000000
143 3617.0000000000
164 3741.0000000000
186 3783.0000000000
236 3947.0000000000
268 3972.0000000000
277 4023.0000000000
287 4025.0000000000
295 4081.0000000000
313 4117.0000000000
319 4142.0000000000
351 4156.0000000000
363 4231.0000000000
377 4258.0000000000
396 4308.0000000000
408 4410.0000000000
467 4445.0000000000
500 4513.0000000000
511 4520.0000000000
513 4549.0000000000
535 4557.0000000000
538 4574.0000000000
552 4611.0000000000
586 4622.0000000000
627 4645.0000000000
658 4699.0000000000
671 4700.0000000000
710 4701.0000000000
713 4714.0000000000
725 4729.0000000000
772 4732.0000000000
784 4753.0000000000
791 4813.0000000000
834 4829.0000000000
865 4842.0000000000
883 4887.0000000000
983 4896.0000000000
993 4917.0000000000
1039 4999.0000000000
1167 5001.0000000000
1218 5002.0000000000
1252 5004.0000000000
1314 5009.0000000000
1327 5012.0000000000
1338 5015.0000000000
1467 5021.0000000000
1487 5026.0000000000
1489 5032.0000000000
1528 5046.0000000000
1956 5050.0000000000
100000 4975.0000000000
evaluations raw_y
1 2675.0000000000
3 2741.0000000000
4 2970.0000000000
15 3320.0000000000
54 3364.0000000000
96 3622.0000000000
143 3664.0000000000
146 3792.0000000000
192 3873.0000000000
194 3940.0000000000
233 3987.0000000000
239 4175.0000000000
344 4279.0000000000
394 4286.0000000000
398 4335.0000000000
409 4358.0000000000
434 4431.0000000000
455 4432.0000000000
469 4435.0000000000
478 4532.0000000000
510 4658.0000000000
578 4672.0000000000
623 4694.0000000000
654 4696.0000000000
685 4713.0000000000
698 4722.0000000000
701 4792.0000000000
790 4805.0000000000
833 4810.0000000000
855 4894.0000000000
1025 4903.0000000000
1042 4912.0000000000
1082 4917.0000000000
1096 4935.0000000000
1203 4966.0000000000
1211 4989.0000000000
1320 4991.0000000000
1397 5003.0000000000
1516 5008.0000000000
1537 5020.0000000000
1603 5023.0000000000
1741 5027.0000000000
1766 5033.0000000000
1829 5037.0000000000
1922 5040.0000000000
1945 5041.0000000000
1950 5050.0000000000
100000 4921.0000000000
evaluations raw_y
1 2524.0000000000
2 2833.0000000000
3 3014.0000000000
23 3252.0000000000
56 3494.0000000000
122 3622.0000000000
137 3748.0000000000
195 3806.0000000000
199 3862.0000000000
227 3910.0000000000
241 4063.0000000000
273 4181.0000000000
283 4314.0000000000
393 4400.0000000000
443 4416.0000000000
471 4426.0000000000
477 4525.0000000000
522 4527.0000000000
531 4533.0000000000
552 4556.0000000000
600 4569.0000000000
617 4574.0000000000
633 4605.0000000000
641 4614.0000000000
646 4617.0000000000
671 4629.0000000000
701 4646.0000000000
722 4651.0000000000
739 4667.0000000000
745 4688.0000000000
753 4695.0000000000
812 4708.0000000000
817 4710.0000000000
830 4711.0000000000
842 4718.0000000000
848 4744.0000000000
875 4764.0000000000
899 4787.0000000000
908 4803.0000000000
986 4816.0000000000
996 4831.0000000000
1067 4832.0000000000
1096 4852.0000000000
1166 4874.0000000000
1190 4894.0000000000
1219 4902.0000000000
1250 4915.0000000000
1307 4959.0000000000
1348 4964.0000000000
1367 4972.0000000000
1377 5001.0000000000
1440 5014.0000000000
1476 5033.0000000000
1653 5034.0000000000
1761 5037.0000000000
1764 5038.0000000000
2248 5040.0000000000
2256 5043.0000000000
2279 5048.0000000000
2323 5050.0000000000
100000 4992.0000000000
evaluations raw_y
1 2394.0000000000
3 2836.0000000000
6 3038.0000000000
15 3068.0000000000
23 3165.0000000000
33 3467.0000000000
70 3494.0000000000
90 3754.0000000000
176 3762.0000000000
179 3829.0000000000
183 4040.0000000000
251 4041.0000000000
285 4070.0000000000
293 4147.0000000000
326 4246.0000000000
381 4273.0000000000
383 4326.0000000000
404 4329.0000000000
418 4341.0000000000
433 4354.0000000000
443 4387.0000000000
482 4396.0000000000
524 4429.0000000000
532 4460.0000000000
574 4501.0000000000
640 4515.0000000000
675 4522.0000000000
682 4542.0000000000
722 4557.0000000000
754 4625.0000000000
788 4634.0000000000
815 4657.0000000000
822 4659.0000000000
844 4668.0000000000
849 4712.0000000000
883 4742.0000000000
936 4753.0000000000
938 4755.0000000000
949 4791.0000000000
961 4842.0000000000
1065 4912.0000000000
1197 4914.0000000000
1220 4940.0000000000
1244 4942.0000000000
1450 4956.0000000000
1494 4963.0000000000
1507 4964.0000000000
1538 4966.0000000000
1575 4975.0000000000
1582 4977.0000000000
1696 4979.0000000000
1706 4985.0000000000
1738 4998.0000000000
1825 5016.0000000000
1870 5027.0000000000
2030 5047.0000000000
2315 5050.0000000000
100000 4974.0000000000
evaluations raw_y
1 2628.0000000000
8 2832.0000000000
12 2904.0000000000
14 3314.0000000000
45 3694.0000000000
96 3745.0000000000
151 3861.0000000000
201 4026.0000000000
209 4113.0000000000
241 4188.0000000000
331 4286.0000000000
350 4289.0000000000
404 4350.0000000000
421 4429.0000000000
441 4453.0000000000
459 4503.0000000000
483 4615.0000000000
539 4625.0000000000
564 4630.0000000000
587 4655.0000000000
592 4668.0000000000
633 4694.0000000000
649 4751.0000000000
771 4771.0000000000
796 4777.0000000000
865 4792.0000000000
869 4793.0000000000
881 4818.0000000000
887 4819.0000000000
892 4834.0000000000
931 4854.0000000000
966 4856.0000000000
977 4860.0000000000
1020 4872.0000000000
1039 4898.0000000000
1145 4921.0000000000
1152 4927.0000000000
1231 4944.0000000000
1235 4962.0000000000
1288 5002.0000000000
1353 5003.0000000000
1601 5011.0000000000
1642 5025.0000000000
2004 5034.0000000000
2818 5050.0000000000
100000 4880.0000000000
evaluations raw_y
1 3101.0000000000
15 3185.0000000000
41 3236.0000000000
84 3309.0000000000
104 3327.0000000000
120 3363.0000000000
124 3457.0000000000
148 3498.0000000000
154 3501.0000000000
159 3592.0000000000
169 3688.0000000000
223 3711.0000000000
228 3719.0000000000
231 3757.0000000000
239 3840.0000000000
253 3952.0000000000
312 4091.0000000000
341 4099.0000000000
364 4112.0000000000
369 4265.0000000000
420 4286.0000000000
428 4287.0000000000
435 4495.0000000000
525 4506.0000000000
532 4514.0000000000
536 4615.0000000000
571 4633.0000000000
575 4710.0000000000
581 4723.0000000000
595 4732.0000000000
617 4771.0000000000
709 4774.0000000000
801 4776.0000000000
823 4782.0000000000
834 4787.0000000000
841 4792.0000000000
842 4795.0000000000
860 4812.0000000000
880 4822.0000000000
917 4896.0000000000
1012 4897.0000000000
1019 4912.0000000000
1063 4939.0000000000
1089 4949.0000000000
1129 4951.0000000000
1190 4956.0000000000
1202 4969.0000000000
1206 4971.0000000000
1209 4979.0000000000
1214 4981.0000000000
1364 5000.0000000000
1401 5006.0000000000
1514 5017.0000000000
1546 5030.0000000000
1826 5035.0000000000
1841 5037.0000000000
1860 5038.0000000000
1894 5042.0000000000
2033 5050.0000000000
100000 5027.0000000000
evaluations raw_y
1 2296.0000000000
