evaluations raw_y
1 1.2632642749
8 1.2960082945
25 1.3743815283
35 1.6097875080
49 1.6244314490
51 1.6265452180
191 1.6371971185
194 1.6479894529
221 1.7717930546
228 1.7743080199
231 1.8341892883
239 1.8811136193
245 1.8953752843
257 2.0080321285
367 2.0374898126
379 2.0610057708
488 2.0955574183
489 2.1204410517
507 2.2301516503
759 2.3212627669
777 2.3696682464
2771 2.3877745941
2773 2.5278058645
2784 2.5853154085
8055 2.6968716289
100000 1.0579771477
evaluations raw_y
1 0.7869058861
2 0.8683570684
4 1.3535462913
8 1.3958682300
10 1.6118633140
22 1.7445917655
29 1.8288222385
53 2.0016012810
129 2.0408163265
176 2.0678246485
186 2.1132713440
371 2.2747952684
386 2.4201355276
1603 2.4533856722
1609 2.5075225677
9607 2.6399155227
100000 0.6973500697
evaluations raw_y
1 1.1337868481
2 1.1547344111
3 1.2118274358
4 1.2735608762
7 1.3477088949
18 1.5051173992
19 1.5752993069
23 1.6097875080
35 1.7421602787
64 1.7998560115
241 1.8208302986
244 1.8288222385
255 1.8532246108
258 1.8615040953
452 1.8839487566
472 1.8982536067
477 2.0242914980
483 2.0746887967
488 2.0990764064
496 2.3126734505
510 2.3430178069
2398 2.4727992087
11795 2.5176233635
11817 2.5960539979
11819 2.6455026455
100000 0.9228497601
evaluations raw_y
1 1.0902747492
3 1.2444001991
6 1.2906556531
17 1.3564839935
19 1.4261266400
25 1.5365703749
29 1.5733165513
36 1.7373175817
39 1.7397355602
52 1.8782870023
55 1.9040365575
57 1.9485580670
96 2.1312872975
113 2.1349274125
124 2.1385799829
580 2.2956841139
3571 2.3562676720
5192 2.5025025025
7861 2.5125628141
7923 2.5536261491
12408 2.5853154085
100000 0.7928956549
evaluations raw_y
1 1.5713387806
17 1.5772870662
19 1.7618040874
26 1.8867924528
27 1.9186492709
40 1.9825535289
46 1.9857029388
50 1.9888623707
61 2.1872265967
113 2.2872827081
120 2.2999080037
512 2.3212627669
752 2.5025025025
762 2.5075225677
100000 1.2619888945
evaluations raw_y
1 1.2748597654
3 1.2973533991
8 1.5873015873
18 1.6972165648
23 1.8559762435
32 1.8587360595
42 1.9425019425
55 2.1097046414
61 2.1349274125
379 2.1422450728
429 2.2065313327
440 2.2747952684
445 2.2789425706
1101 2.3041474654
2015 2.3651844844
2794 2.4154589372
3493 2.4437927664
3500 2.4485798237
3504 2.4727992087
100000 1.0670081093
evaluations raw_y
1 1.0508617066
4 1.5713387806
18 1.6523463318
26 1.7618040874
29 1.7844396859
36 1.8670649739
48 1.9516003123
63 2.2831050228
427 2.3169601483
428 2.4295432459
445 2.4826216485
6110 2.6624068158
100000 1.3192612137
evaluations raw_y
1 1.3506212858
18 1.5051173992
23 1.6118633140
34 1.6523463318
41 1.6545334216
47 1.7301038062
52 1.8024513338
64 1.8698578908
252 1.9069412662
374 1.9275250578
390 2.2026431718
449 2.2665457842
909 2.3342670401
968 2.4201355276
6728 2.5641025641
6749 2.6123301985
6760 2.7563395810
100000 1.1215791835
evaluations raw_y
1 0.9619084263
5 0.9940357853
6 1.2333497780
23 1.2933264356
24 1.3535462913
27 1.4594279043
33 1.4961101137
37 1.4979029359
42 1.5179113540
50 1.6097875080
55 1.6458196182
90 1.6903313049
96 1.8155410312
104 1.8670649739
116 1.8811136193
147 1.9638648861
161 1.9731649566
174 2.0016012810
192 2.1422450728
1037 2.1872265967
1337 2.2341376229
1343 2.2542831380
1354 2.4630541872
11310 2.4727992087
100000 0.9283327144
evaluations raw_y
1 1.4245014245
19 1.4560279557
27 1.6035920462
37 1.7445917655
50 1.7717930546
106 1.7972681524
118 1.8208302986
160 1.9920318725
175 1.9952114924
179 2.1349274125
186 2.2222222222
260 2.2872827081
564 2.3474178404
2075 2.4061597690
10070 2.4630541872
10246 2.5799793602
10263 2.5853154085
100000 1.2787723785
