evaluations raw_y
1 45.0000000000
3 56.0000000000
8 58.0000000000
17 59.0000000000
20 60.0000000000
26 61.0000000000
33 62.0000000000
45 63.0000000000
60 64.0000000000
66 80.0000000000
67 88.0000000000
68 89.0000000000
71 90.0000000000
75 91.0000000000
87 92.0000000000
96 93.0000000000
106 94.0000000000
136 95.0000000000
149 96.0000000000
162 97.0000000000
177 98.0000000000
1798 99.0000000000
2878 100.0000000000
2925 99.0000000000
evaluations raw_y
1 47.0000000000
2 49.0000000000
6 54.0000000000
8 61.0000000000
18 62.0000000000
23 63.0000000000
30 64.0000000000
38 65.0000000000
48 66.0000000000
60 67.0000000000
66 87.0000000000
68 89.0000000000
76 90.0000000000
86 91.0000000000
99 92.0000000000
122 93.0000000000
131 97.0000000000
154 98.0000000000
175 99.0000000000
4093 100.0000000000
4095 99.0000000000
evaluations raw_y
1 44.0000000000
2 45.0000000000
3 55.0000000000
10 56.0000000000
12 58.0000000000
18 59.0000000000
22 60.0000000000
28 61.0000000000
35 62.0000000000
43 63.0000000000
52 64.0000000000
64 65.0000000000
66 87.0000000000
70 89.0000000000
77 93.0000000000
115 94.0000000000
137 96.0000000000
153 97.0000000000
179 98.0000000000
435 99.0000000000
1620 100.0000000000
1625 99.0000000000
evaluations raw_y
1 43.0000000000
2 51.0000000000
4 54.0000000000
5 58.0000000000
9 61.0000000000
19 62.0000000000
26 63.0000000000
36 64.0000000000
47 65.0000000000
59 66.0000000000
66 89.0000000000
77 90.0000000000
78 93.0000000000
93 94.0000000000
125 95.0000000000
151 96.0000000000
159 97.0000000000
177 98.0000000000
765 99.0000000000
1595 100.0000000000
1625 99.0000000000
evaluations raw_y
1 54.0000000000
3 55.0000000000
15 57.0000000000
18 58.0000000000
23 59.0000000000
29 60.0000000000
40 61.0000000000
56 62.0000000000
66 83.0000000000
67 84.0000000000
68 87.0000000000
71 90.0000000000
85 91.0000000000
96 92.0000000000
109 93.0000000000
123 94.0000000000
154 95.0000000000
169 96.0000000000
188 97.0000000000
300 98.0000000000
968 99.0000000000
4542 100.0000000000
4550 99.0000000000
evaluations raw_y
1 38.0000000000
2 46.0000000000
3 49.0000000000
4 58.0000000000
17 59.0000000000
20 60.0000000000
25 61.0000000000
35 62.0000000000
47 63.0000000000
64 64.0000000000
66 84.0000000000
67 88.0000000000
70 93.0000000000
94 94.0000000000
119 95.0000000000
137 96.0000000000
178 97.0000000000
216 98.0000000000
814 99.0000000000
2397 100.0000000000
2405 99.0000000000
evaluations raw_y
1 47.0000000000
2 55.0000000000
19 56.0000000000
23 57.0000000000
28 58.0000000000
34 59.0000000000
44 60.0000000000
55 61.0000000000
66 86.0000000000
67 92.0000000000
91 93.0000000000
112 94.0000000000
154 95.0000000000
183 96.0000000000
439 97.0000000000
544 98.0000000000
883 99.0000000000
9584 100.0000000000
9620 99.0000000000
evaluations raw_y
1 57.0000000000
7 58.0000000000
18 59.0000000000
21 60.0000000000
25 61.0000000000
30 62.0000000000
36 63.0000000000
44 64.0000000000
56 65.0000000000
66 84.0000000000
67 96.0000000000
90 97.0000000000
108 98.0000000000
1474 99.0000000000
1743 100.0000000000
1755 99.0000000000
evaluations raw_y
1 51.0000000000
4 53.0000000000
5 56.0000000000
11 59.0000000000
17 60.0000000000
19 61.0000000000
25 62.0000000000
33 63.0000000000
43 64.0000000000
56 65.0000000000
66 81.0000000000
67 88.0000000000
69 89.0000000000
72 91.0000000000
101 92.0000000000
130 93.0000000000
132 94.0000000000
137 95.0000000000
140 96.0000000000
150 97.0000000000
179 98.0000000000
442 99.0000000000
1984 100.0000000000
2015 99.0000000000
evaluations raw_y
1 52.0000000000
4 54.0000000000
13 60.0000000000
21 61.0000000000
28 62.0000000000
36 63.0000000000
49 64.0000000000
66 87.0000000000
68 93.0000000000
111 94.0000000000
131 95.0000000000
148 96.0000000000
175 97.0000000000
218 98.0000000000
231 99.0000000000
838 100.0000000000
845 99.0000000000
