evaluations raw_y
1 -1361.0000000000
3 -1332.0000000000
15 -1264.0000000000
18 -1235.0000000000
23 -1206.0000000000
36 -1167.0000000000
51 -1128.0000000000
66 1.0000000000
83 2.0000000000
98 3.0000000000
125 4.0000000000
163 5.0000000000
443 6.0000000000
3210 7.0000000000
83563 8.0000000000
100000 -8.0000000000
evaluations raw_y
1 -1254.0000000000
12 -1147.0000000000
17 -1118.0000000000
24 -1079.0000000000
32 -1050.0000000000
42 -1031.0000000000
56 -1002.0000000000
66 2.0000000000
82 3.0000000000
95 4.0000000000
122 5.0000000000
227 6.0000000000
1038 7.0000000000
7211 8.0000000000
96694 9.0000000000
100000 -54.0000000000
evaluations raw_y
1 -1214.0000000000
2 -1137.0000000000
3 -1080.0000000000
12 -1001.0000000000
22 -962.0000000000
32 -943.0000000000
43 -914.0000000000
56 -875.0000000000
66 2.0000000000
82 3.0000000000
95 4.0000000000
122 5.0000000000
147 6.0000000000
186 7.0000000000
905 8.0000000000
100000 3.0000000000
evaluations raw_y
1 -1322.0000000000
3 -1303.0000000000
5 -1020.0000000000
19 -981.0000000000
26 -942.0000000000
34 -913.0000000000
44 -894.0000000000
55 -865.0000000000
66 0.0000000000
68 1.0000000000
70 2.0000000000
82 3.0000000000
95 4.0000000000
301 5.0000000000
503 6.0000000000
4593 7.0000000000
41626 8.0000000000
100000 3.0000000000
evaluations raw_y
1 -1644.0000000000
2 -1527.0000000000
3 -1283.0000000000
5 -1205.0000000000
7 -1166.0000000000
8 -1137.0000000000
17 -1108.0000000000
22 -1069.0000000000
28 -1060.0000000000
40 -1021.0000000000
54 -982.0000000000
66 0.0000000000
67 1.0000000000
71 2.0000000000
72 3.0000000000
92 4.0000000000
115 5.0000000000
192 6.0000000000
1850 7.0000000000
1877 8.0000000000
100000 1.0000000000
evaluations raw_y
1 -1283.0000000000
2 -1264.0000000000
3 -1206.0000000000
13 -1157.0000000000
17 -1128.0000000000
23 -1089.0000000000
30 -1060.0000000000
43 -1031.0000000000
58 -992.0000000000
66 1.0000000000
67 2.0000000000
82 3.0000000000
95 4.0000000000
120 5.0000000000
253 6.0000000000
373 7.0000000000
3690 8.0000000000
100000 5.0000000000
evaluations raw_y
1 -1177.0000000000
7 -1030.0000000000
19 -991.0000000000
26 -962.0000000000
40 -923.0000000000
59 -904.0000000000
66 1.0000000000
69 3.0000000000
84 4.0000000000
99 5.0000000000
128 6.0000000000
960 7.0000000000
2826 8.0000000000
100000 3.0000000000
evaluations raw_y
1 -1137.0000000000
9 -1089.0000000000
20 -1060.0000000000
26 -1031.0000000000
40 -992.0000000000
55 -953.0000000000
66 0.0000000000
69 2.0000000000
83 3.0000000000
98 4.0000000000
125 5.0000000000
311 6.0000000000
4479 7.0000000000
8643 8.0000000000
100000 -15.0000000000
evaluations raw_y
1 -1702.0000000000
2 -1108.0000000000
25 -1089.0000000000
37 -1060.0000000000
51 -1021.0000000000
66 0.0000000000
67 1.0000000000
73 3.0000000000
82 4.0000000000
114 5.0000000000
187 6.0000000000
1291 7.0000000000
4027 8.0000000000
100000 1.0000000000
evaluations raw_y
1 -1507.0000000000
2 -1400.0000000000
3 -1381.0000000000
4 -1254.0000000000
17 -1225.0000000000
20 -1196.0000000000
31 -1167.0000000000
43 -1138.0000000000
56 -1099.0000000000
66 2.0000000000
82 3.0000000000
95 4.0000000000
120 5.0000000000
318 6.0000000000
2522 7.0000000000
6422 8.0000000000
100000 -7.0000000000
