evaluations raw_y
1 -0.5257501371
2 -0.5028681469
3 -0.5023534816
6 -0.4503245054
17 -0.4498536781
19 -0.4465283207
23 -0.4460482007
28 -0.4363336913
35 -0.4350721351
43 -0.4315925806
50 -0.4289610502
59 -0.4277002542
100000 -0.4910832453
evaluations raw_y
1 -0.4698495605
8 -0.4698179849
14 -0.4682739811
17 -0.4637296486
20 -0.4611804622
24 -0.4610131349
35 -0.4607231965
37 -0.4582052166
41 -0.4577250966
54 -0.4551800633
61 -0.4543782223
106 -0.4537877270
123 -0.4534561529
139 -0.4471095541
147 -0.4433880905
153 -0.4411263038
160 -0.4384947735
170 -0.4310660368
183 -0.4285210035
190 -0.4277191625
100000 -0.4945729582
evaluations raw_y
1 -0.4802714190
14 -0.4791501720
19 -0.4773787930
26 -0.4761172368
34 -0.4726376823
41 -0.4700061519
52 -0.4639111047
56 -0.4634309847
91 -0.4610126691
97 -0.4571166430
105 -0.4536370884
120 -0.4514951068
139 -0.4484597515
148 -0.4482082128
152 -0.4480408854
158 -0.4441448593
168 -0.4387459173
183 -0.4366039357
339 -0.4314458155
342 -0.4265665607
353 -0.4215057788
357 -0.4210256588
374 -0.4206940848
100000 -0.4891435647
evaluations raw_y
1 -0.5389331570
2 -0.5204432923
3 -0.4809229025
18 -0.4796483838
21 -0.4778770048
25 -0.4773968848
31 -0.4668738863
39 -0.4626675417
54 -0.4587588772
89 -0.4555479506
101 -0.4453708360
119 -0.4408082581
353 -0.4395091692
367 -0.4365161875
382 -0.4341521001
442 -0.4310718701
100000 -0.4916267590
evaluations raw_y
1 -0.5061399435
5 -0.4818802020
7 -0.4687248424
9 -0.4558473008
17 -0.4554952592
20 -0.4529460728
24 -0.4524659528
29 -0.4447507095
35 -0.4403855238
48 -0.4377221482
55 -0.4369203072
77 -0.4308640747
83 -0.4285170623
89 -0.4179940637
98 -0.4130625651
109 -0.4080017833
113 -0.4075216633
125 -0.3967039631
100000 -0.4913745111
evaluations raw_y
1 -0.5577071154
2 -0.4942786645
5 -0.4912867117
11 -0.4863516214
19 -0.4845802424
25 -0.4802150567
32 -0.4794132157
50 -0.4691764232
79 -0.4646576270
82 -0.4609361634
84 -0.4602861759
90 -0.4580243893
97 -0.4553928589
107 -0.4479641223
121 -0.4449711406
218 -0.4434005317
232 -0.4373550021
247 -0.4352130205
313 -0.4258402824
100000 -0.4942930423
evaluations raw_y
1 -0.5053151014
2 -0.4837322350
3 -0.4571153320
18 -0.4568637932
23 -0.4520901561
32 -0.4508293601
48 -0.4493078217
133 -0.4461823076
147 -0.4411842671
152 -0.4326199425
159 -0.4299884121
168 -0.4287276161
179 -0.4274034124
181 -0.4248854325
185 -0.4244053125
100000 -0.4939230408
evaluations raw_y
1 -0.5248433301
3 -0.4787157116
17 -0.4782448843
20 -0.4756956979
35 -0.4720091391
51 -0.4654757360
78 -0.4646414171
83 -0.4613160596
91 -0.4571097150
110 -0.4525958274
167 -0.4523472295
178 -0.4462521823
182 -0.4457720623
194 -0.4355371758
100000 -0.4942930423
evaluations raw_y
1 -0.4881709209
6 -0.4592494037
18 -0.4532040415
22 -0.4530367142
27 -0.4338966439
34 -0.4326350877
42 -0.4284287432
49 -0.4257972128
58 -0.4208657142
100000 -0.4905026104
evaluations raw_y
1 -0.5195347231
6 -0.5070982959
7 -0.5013713667
14 -0.4387659623
18 -0.4344176250
22 -0.4342502977
29 -0.4295553701
37 -0.4253490255
52 -0.4229849382
100000 -0.4942930423
