evaluations raw_y
1 1.0000000000
2 2.0000000000
13 3.0000000000
15 5.0000000000
22 6.0000000000
29 7.0000000000
37 8.0000000000
46 10.0000000000
57 15.0000000000
122 16.0000000000
160 17.0000000000
178 20.0000000000
246 25.0000000000
320 27.0000000000
334 35.0000000000
377 38.0000000000
589 40.0000000000
642 48.0000000000
659 69.0000000000
1096 82.0000000000
6382 100.0000000000
6432 48.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
7 4.0000000000
21 5.0000000000
27 7.0000000000
35 8.0000000000
44 9.0000000000
54 14.0000000000
118 16.0000000000
191 21.0000000000
251 22.0000000000
333 23.0000000000
365 28.0000000000
430 34.0000000000
500 42.0000000000
578 46.0000000000
773 47.0000000000
987 49.0000000000
1152 53.0000000000
1234 69.0000000000
2547 79.0000000000
3957 97.0000000000
4550 100.0000000000
evaluations raw_y
1 1.0000000000
7 6.0000000000
23 8.0000000000
32 10.0000000000
43 12.0000000000
56 13.0000000000
98 15.0000000000
114 18.0000000000
171 25.0000000000
323 30.0000000000
329 43.0000000000
385 65.0000000000
566 97.0000000000
1549 100.0000000000
1560 10.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
13 2.0000000000
19 3.0000000000
23 5.0000000000
29 6.0000000000
36 7.0000000000
44 8.0000000000
53 10.0000000000
64 12.0000000000
92 16.0000000000
109 19.0000000000
129 20.0000000000
153 22.0000000000
176 23.0000000000
309 26.0000000000
393 30.0000000000
437 37.0000000000
470 44.0000000000
516 48.0000000000
708 55.0000000000
1177 73.0000000000
1668 78.0000000000
3067 85.0000000000
6992 100.0000000000
7020 27.0000000000
evaluations raw_y
1 2.0000000000
19 3.0000000000
23 5.0000000000
29 11.0000000000
41 17.0000000000
59 18.0000000000
159 20.0000000000
180 21.0000000000
250 26.0000000000
291 28.0000000000
320 40.0000000000
577 45.0000000000
697 51.0000000000
844 78.0000000000
6511 100.0000000000
6561 48.0000000000
evaluations raw_y
1 5.0000000000
5 8.0000000000
25 9.0000000000
35 10.0000000000
46 12.0000000000
59 16.0000000000
155 19.0000000000
175 20.0000000000
268 42.0000000000
319 46.0000000000
509 61.0000000000
575 64.0000000000
1040 78.0000000000
1569 80.0000000000
2387 85.0000000000
8314 89.0000000000
24288 91.0000000000
29189 100.0000000000
evaluations raw_y
1 1.0000000000
8 2.0000000000
14 5.0000000000
22 7.0000000000
30 10.0000000000
41 11.0000000000
53 13.0000000000
168 14.0000000000
183 15.0000000000
226 17.0000000000
244 19.0000000000
311 22.0000000000
353 24.0000000000
378 32.0000000000
499 40.0000000000
586 41.0000000000
643 49.0000000000
706 60.0000000000
1167 66.0000000000
3885 75.0000000000
4801 78.0000000000
16915 83.0000000000
17601 86.0000000000
23201 88.0000000000
24333 100.0000000000
evaluations raw_y
1 1.0000000000
5 3.0000000000
20 5.0000000000
26 6.0000000000
33 7.0000000000
41 8.0000000000
50 12.0000000000
63 13.0000000000
104 19.0000000000
124 25.0000000000
266 35.0000000000
312 39.0000000000
401 40.0000000000
405 47.0000000000
454 48.0000000000
512 58.0000000000
831 64.0000000000
1165 70.0000000000
1944 73.0000000000
2791 79.0000000000
9550 93.0000000000
25494 98.0000000000
31128 100.0000000000
evaluations raw_y
1 0.0000000000
5 7.0000000000
24 12.0000000000
37 13.0000000000
51 14.0000000000
170 15.0000000000
186 18.0000000000
308 22.0000000000
361 24.0000000000
386 28.0000000000
448 33.0000000000
535 54.0000000000
1115 58.0000000000
1556 67.0000000000
3303 100.0000000000
3315 11.0000000000
evaluations raw_y
1 1.0000000000
5 2.0000000000
19 3.0000000000
23 5.0000000000
29 6.0000000000
36 7.0000000000
44 10.0000000000
55 13.0000000000
123 17.0000000000
180 20.0000000000
292 25.0000000000
318 29.0000000000
385 30.0000000000
459 52.0000000000
700 61.0000000000
1235 94.0000000000
32671 100.0000000000
