evaluations raw_y
1 2149.0000000000
2 2934.0000000000
23 2941.0000000000
34 2952.0000000000
46 2964.0000000000
59 2977.0000000000
66 4638.0000000000
67 4734.0000000000
70 4997.0000000000
84 5000.0000000000
94 5010.0000000000
1596 5018.0000000000
2350 5050.0000000000
2400 5001.0000000000
evaluations raw_y
1 2594.0000000000
3 2871.0000000000
17 2872.0000000000
20 2875.0000000000
26 2881.0000000000
35 2890.0000000000
47 2902.0000000000
60 2915.0000000000
66 4410.0000000000
68 4651.0000000000
72 4683.0000000000
76 4891.0000000000
85 4895.0000000000
102 4912.0000000000
128 4938.0000000000
203 4959.0000000000
212 4960.0000000000
215 4963.0000000000
231 4979.0000000000
577 4991.0000000000
1102 5004.0000000000
1688 5021.0000000000
4161 5033.0000000000
4179 5036.0000000000
4193 5050.0000000000
4225 5018.0000000000
evaluations raw_y
1 2341.0000000000
2 2537.0000000000
3 2578.0000000000
7 2631.0000000000
17 2632.0000000000
20 2635.0000000000
28 2643.0000000000
38 2653.0000000000
50 2665.0000000000
63 2678.0000000000
66 4534.0000000000
68 4747.0000000000
70 4850.0000000000
145 4855.0000000000
161 4870.0000000000
245 4892.0000000000
405 4936.0000000000
408 4938.0000000000
424 4954.0000000000
448 4978.0000000000
2001 5001.0000000000
2535 5050.0000000000
evaluations raw_y
1 2639.0000000000
5 2757.0000000000
9 2791.0000000000
17 2792.0000000000
21 2796.0000000000
26 2801.0000000000
32 2807.0000000000
39 2814.0000000000
47 2822.0000000000
56 2831.0000000000
66 4356.0000000000
68 4507.0000000000
69 4831.0000000000
85 4835.0000000000
90 4840.0000000000
102 4852.0000000000
145 4896.0000000000
165 4915.0000000000
461 5004.0000000000
487 5020.0000000000
517 5050.0000000000
520 5047.0000000000
evaluations raw_y
1 2317.0000000000
2 2342.0000000000
3 2486.0000000000
6 2604.0000000000
8 2614.0000000000
9 2690.0000000000
12 2712.0000000000
17 2713.0000000000
20 2716.0000000000
24 2720.0000000000
32 2728.0000000000
43 2739.0000000000
60 2756.0000000000
66 4535.0000000000
67 4564.0000000000
68 4620.0000000000
69 4727.0000000000
71 4759.0000000000
74 4864.0000000000
88 4871.0000000000
102 4885.0000000000
244 4900.0000000000
458 4959.0000000000
472 4960.0000000000
479 4967.0000000000
518 5006.0000000000
4254 5011.0000000000
10017 5029.0000000000
10036 5039.0000000000
10047 5050.0000000000
10075 5022.0000000000
evaluations raw_y
1 2551.0000000000
5 2562.0000000000
6 2836.0000000000
7 3171.0000000000
18 3173.0000000000
23 3178.0000000000
29 3184.0000000000
36 3191.0000000000
45 3200.0000000000
60 3215.0000000000
66 4461.0000000000
68 4576.0000000000
69 4884.0000000000
91 4894.0000000000
220 4901.0000000000
233 4914.0000000000
274 4917.0000000000
281 4922.0000000000
290 4931.0000000000
300 4941.0000000000
316 4957.0000000000
583 4977.0000000000
2079 4993.0000000000
3969 5013.0000000000
3982 5014.0000000000
3995 5027.0000000000
4018 5050.0000000000
4030 5038.0000000000
evaluations raw_y
1 2390.0000000000
3 2405.0000000000
4 2925.0000000000
7 3024.0000000000
17 3025.0000000000
19 3027.0000000000
23 3031.0000000000
28 3036.0000000000
36 3044.0000000000
46 3054.0000000000
57 3065.0000000000
66 4680.0000000000
68 4938.0000000000
102 4959.0000000000
124 4981.0000000000
2459 4985.0000000000
3750 4994.0000000000
5068 5000.0000000000
7747 5013.0000000000
7759 5021.0000000000
7788 5050.0000000000
7800 5038.0000000000
evaluations raw_y
1 2507.0000000000
4 2632.0000000000
5 2799.0000000000
6 2822.0000000000
10 2833.0000000000
17 2834.0000000000
19 2836.0000000000
23 2840.0000000000
30 2847.0000000000
39 2856.0000000000
49 2866.0000000000
61 2878.0000000000
66 4715.0000000000
69 4812.0000000000
71 4843.0000000000
90 4852.0000000000
116 4878.0000000000
198 5027.0000000000
234 5050.0000000000
260 5024.0000000000
evaluations raw_y
1 1938.0000000000
2 3022.0000000000
7 3082.0000000000
13 3171.0000000000
14 3218.0000000000
17 3219.0000000000
20 3222.0000000000
27 3229.0000000000
35 3237.0000000000
47 3249.0000000000
61 3263.0000000000
66 4524.0000000000
71 4639.0000000000
74 4640.0000000000
75 4778.0000000000
80 4821.0000000000
93 4833.0000000000
114 4854.0000000000
141 4862.0000000000
164 4880.0000000000
194 4910.0000000000
472 4911.0000000000
492 4931.0000000000
723 4944.0000000000
735 4948.0000000000
742 4955.0000000000
760 4973.0000000000
2260 4980.0000000000
2310 4985.0000000000
2335 5010.0000000000
4410 5019.0000000000
12282 5050.0000000000
12285 5047.0000000000
evaluations raw_y
1 2918.0000000000
2 3228.0000000000
18 3230.0000000000
21 3233.0000000000
26 3238.0000000000
33 3245.0000000000
41 3253.0000000000
51 3263.0000000000
62 3274.0000000000
66 4387.0000000000
68 4590.0000000000
69 4595.0000000000
72 4602.0000000000
78 4833.0000000000
82 4834.0000000000
86 4838.0000000000
102 4854.0000000000
122 4874.0000000000
133 4900.0000000000
189 4943.0000000000
962 4957.0000000000
1557 4961.0000000000
1633 4988.0000000000
1668 5015.0000000000
2801 5017.0000000000
2827 5033.0000000000
2844 5050.0000000000
2860 5034.0000000000
