evaluations raw_y
1 -298.0000000000
2 -282.0000000000
3 -268.0000000000
13 -267.0000000000
14 -262.0000000000
23 -261.0000000000
26 -260.0000000000
29 -250.0000000000
50 -241.0000000000
70 -240.0000000000
80 -239.0000000000
81 -238.0000000000
105 -235.0000000000
126 -225.0000000000
132 -222.0000000000
221 -207.0000000000
240 -205.0000000000
317 -200.0000000000
324 -186.0000000000
429 -185.0000000000
570 -183.0000000000
599 -181.0000000000
605 -178.0000000000
610 -175.0000000000
804 -173.0000000000
815 -172.0000000000
889 -162.0000000000
952 -160.0000000000
1030 -159.0000000000
1070 -158.0000000000
1082 -154.0000000000
1310 -153.0000000000
1415 -149.0000000000
1450 -148.0000000000
1457 -147.0000000000
1523 -146.0000000000
1526 -145.0000000000
1527 -144.0000000000
1536 -140.0000000000
1588 -134.0000000000
1655 -133.0000000000
1669 -132.0000000000
1671 -131.0000000000
1701 -129.0000000000
1736 -128.0000000000
1756 -127.0000000000
1836 -126.0000000000
1841 -125.0000000000
1890 -124.0000000000
1918 -122.0000000000
1975 -118.0000000000
2007 -117.0000000000
2042 -116.0000000000
2060 -115.0000000000
2061 -114.0000000000
2074 -111.0000000000
2095 -110.0000000000
2118 -109.0000000000
2133 -108.0000000000
2143 -106.0000000000
2154 -105.0000000000
2185 -104.0000000000
2211 -103.0000000000
2221 -101.0000000000
2248 -98.0000000000
2295 -96.0000000000
2321 -95.0000000000
2336 -94.0000000000
2371 -92.0000000000
2398 -90.0000000000
2405 -89.0000000000
2450 -87.0000000000
2465 -84.0000000000
2490 -83.0000000000
2507 -82.0000000000
2548 -81.0000000000
2555 -80.0000000000
2645 -79.0000000000
2694 -78.0000000000
2917 -77.0000000000
3011 -76.0000000000
3106 -75.0000000000
3150 -73.0000000000
3155 -72.0000000000
3216 -71.0000000000
3317 -70.0000000000
3527 -69.0000000000
3613 -66.0000000000
3617 -65.0000000000
3682 -62.0000000000
3727 -61.0000000000
3866 -59.0000000000
3929 -58.0000000000
4144 -57.0000000000
4180 -56.0000000000
4286 -53.0000000000
4400 -52.0000000000
4431 -50.0000000000
4533 -49.0000000000
4740 -48.0000000000
4899 -46.0000000000
4939 -44.0000000000
5002 -42.0000000000
5102 -39.0000000000
5277 -38.0000000000
5310 -36.0000000000
5421 -35.0000000000
5606 -33.0000000000
6310 -31.0000000000
6674 -29.0000000000
6924 -28.0000000000
7771 -26.0000000000
8402 -25.0000000000
9656 -24.0000000000
11051 -23.0000000000
11206 -22.0000000000
11873 -21.0000000000
12113 -20.0000000000
13109 -18.0000000000
13718 -17.0000000000
15087 -16.0000000000
15734 -15.0000000000
16613 -14.0000000000
18883 -13.0000000000
19599 -12.0000000000
20385 -11.0000000000
22796 -10.0000000000
26828 -9.0000000000
31258 -8.0000000000
33903 -7.0000000000
34424 -6.0000000000
38019 -5.0000000000
40053 -4.0000000000
40386 -3.0000000000
42868 -1.0000000000
44448 436.0000000000
44690 456.0000000000
44780 472.0000000000
44892 482.0000000000
46191 492.0000000000
46267 502.0000000000
47042 516.0000000000
56659 517.0000000000
57473 518.0000000000
57671 522.0000000000
60274 527.0000000000
75106 529.0000000000
100010 -8.0000000000
evaluations raw_y
1 -291.0000000000
2 -276.0000000000
7 -270.0000000000
21 -268.0000000000
32 -263.0000000000
37 -261.0000000000
39 -260.0000000000
48 -255.0000000000
58 -250.0000000000
59 -249.0000000000
76 -244.0000000000
91 -236.0000000000
112 -235.0000000000
119 -234.0000000000
128 -231.0000000000
131 -227.0000000000
168 -222.0000000000
211 -221.0000000000
221 -218.0000000000
223 -215.0000000000
290 -214.0000000000
359 -212.0000000000
396 -201.0000000000
582 -199.0000000000
598 -193.0000000000
744 -192.0000000000
826 -190.0000000000
855 -189.0000000000
997 -185.0000000000
1049 -184.0000000000
1088 -183.0000000000
1105 -181.0000000000
1182 -180.0000000000
1234 -176.0000000000
1247 -175.0000000000
1285 -174.0000000000
1302 -173.0000000000
1317 -171.0000000000
1373 -169.0000000000
1391 -166.0000000000
1417 -164.0000000000
1430 -160.0000000000
1434 -159.0000000000
1478 -155.0000000000
1481 -150.0000000000
1545 -147.0000000000
1576 -145.0000000000
1624 -144.0000000000
1648 -142.0000000000
1660 -140.0000000000
1694 -137.0000000000
1714 -130.0000000000
1778 -127.0000000000
1795 -126.0000000000
1876 -124.0000000000
1885 -123.0000000000
1895 -122.0000000000
1923 -119.0000000000
1942 -118.0000000000
1958 -115.0000000000
2009 -113.0000000000
2024 -112.0000000000
2065 -111.0000000000
2102 -110.0000000000
2138 -109.0000000000
2171 -107.0000000000
2217 -102.0000000000
2240 -101.0000000000
2272 -98.0000000000
2279 -97.0000000000
2316 -95.0000000000
2344 -94.0000000000
2367 -93.0000000000
2380 -91.0000000000
2434 -90.0000000000
2478 -89.0000000000
2531 -88.0000000000
2533 -83.0000000000
2634 -82.0000000000
2667 -81.0000000000
2726 -80.0000000000
2923 -78.0000000000
3118 -77.0000000000
3252 -76.0000000000
3279 -75.0000000000
3306 -73.0000000000
3349 -72.0000000000
3388 -70.0000000000
3423 -69.0000000000
3535 -68.0000000000
3589 -65.0000000000
3629 -64.0000000000
3718 -63.0000000000
3921 -62.0000000000
3936 -61.0000000000
3981 -57.0000000000
4146 -56.0000000000
4182 -55.0000000000
4210 -54.0000000000
4245 -53.0000000000
4276 -52.0000000000
4343 -50.0000000000
4397 -49.0000000000
4439 -48.0000000000
4499 -47.0000000000
4619 -46.0000000000
4686 -45.0000000000
4847 -43.0000000000
4875 -42.0000000000
4920 -40.0000000000
4955 -38.0000000000
5488 -37.0000000000
5557 -36.0000000000
5652 -34.0000000000
6209 -33.0000000000
6234 -32.0000000000
6834 -30.0000000000
7102 -28.0000000000
7905 -26.0000000000
7917 -25.0000000000
8615 -24.0000000000
8761 -23.0000000000
10479 -20.0000000000
11033 -19.0000000000
15517 -18.0000000000
16935 -17.0000000000
17210 -16.0000000000
17230 -15.0000000000
17759 -14.0000000000
18897 -13.0000000000
19606 -11.0000000000
19761 -9.0000000000
21048 -8.0000000000
21442 -7.0000000000
21931 -5.0000000000
22319 -4.0000000000
34721 -3.0000000000
39446 -2.0000000000
47050 -1.0000000000
48026 479.0000000000
48264 480.0000000000
48665 501.0000000000
51567 506.0000000000
54980 507.0000000000
58800 511.0000000000
67857 513.0000000000
