evaluations raw_y
1 -1930.0000000000
8 -1844.0000000000
83 -1813.0000000000
130 -1796.0000000000
244 -1780.0000000000
324 -1775.0000000000
340 -1740.0000000000
467 -1727.0000000000
672 -1725.0000000000
674 -1719.0000000000
690 -1712.0000000000
837 -1700.0000000000
864 -1698.0000000000
886 -1697.0000000000
924 -1695.0000000000
942 -1678.0000000000
959 -1672.0000000000
978 -1670.0000000000
1061 -1662.0000000000
1097 -1655.0000000000
1153 -1637.0000000000
1264 -1634.0000000000
1285 -1632.0000000000
1323 -1628.0000000000
1426 -1625.0000000000
1427 -1620.0000000000
1440 -1619.0000000000
1468 -1614.0000000000
1484 -1613.0000000000
1516 -1604.0000000000
1575 -1589.0000000000
1646 -1576.0000000000
1663 -1570.0000000000
1685 -1561.0000000000
1698 -1560.0000000000
1703 -1558.0000000000
1723 -1555.0000000000
1735 -1553.0000000000
1754 -1547.0000000000
1773 -1545.0000000000
1787 -1535.0000000000
1851 -1527.0000000000
1870 -1525.0000000000
1903 -1524.0000000000
1906 -1514.0000000000
1972 -1512.0000000000
1991 -1506.0000000000
1998 -1505.0000000000
2026 -1504.0000000000
2045 -1498.0000000000
2075 -1496.0000000000
2082 -1493.0000000000
2113 -1488.0000000000
2150 -1486.0000000000
2163 -1477.0000000000
2194 -1471.0000000000
2217 -1463.0000000000
2251 -1462.0000000000
2255 -1461.0000000000
2262 -1458.0000000000
2290 -1453.0000000000
2311 -1450.0000000000
2360 -1441.0000000000
2387 -1436.0000000000
2411 -1432.0000000000
2417 -1428.0000000000
2424 -1420.0000000000
2478 -1414.0000000000
2517 -1410.0000000000
2523 -1407.0000000000
2546 -1405.0000000000
2624 -1403.0000000000
2653 -1401.0000000000
2681 -1398.0000000000
2692 -1394.0000000000
2708 -1389.0000000000
2739 -1383.0000000000
2768 -1374.0000000000
2776 -1371.0000000000
2800 -1364.0000000000
2859 -1361.0000000000
2861 -1356.0000000000
2971 -1350.0000000000
3051 -1349.0000000000
3210 -1344.0000000000
3313 -1343.0000000000
3656 -1342.0000000000
3817 -1341.0000000000
3829 -1337.0000000000
3890 -1324.0000000000
3913 -1321.0000000000
3993 -1319.0000000000
4006 -1318.0000000000
4124 -1314.0000000000
4186 -1312.0000000000
4201 -1306.0000000000
4207 -1303.0000000000
4244 -1301.0000000000
4356 -1300.0000000000
4398 -1298.0000000000
4653 -1291.0000000000
4741 -1288.0000000000
4787 -1281.0000000000
4873 -1277.0000000000
4875 -1274.0000000000
4902 -1266.0000000000
5143 -1262.0000000000
5170 -1260.0000000000
5291 -1259.0000000000
5314 -1258.0000000000
5325 -1257.0000000000
5386 -1254.0000000000
5858 -1252.0000000000
6374 -1247.0000000000
6441 -1245.0000000000
6464 -1240.0000000000
7024 -1233.0000000000
7133 -1232.0000000000
7246 -1228.0000000000
7342 -1227.0000000000
7367 -1226.0000000000
7643 -1224.0000000000
7655 -1219.0000000000
7675 -1218.0000000000
7768 -1203.0000000000
8447 -1201.0000000000
8636 -1198.0000000000
8830 -1196.0000000000
9336 -1193.0000000000
9459 -1192.0000000000
9842 -1187.0000000000
10010 -1216.0000000000
evaluations raw_y
1 -1949.0000000000
2 -1947.0000000000
4 -1922.0000000000
11 -1891.0000000000
21 -1860.0000000000
61 -1840.0000000000
92 -1835.0000000000
104 -1822.0000000000
111 -1810.0000000000
169 -1790.0000000000
199 -1776.0000000000
236 -1757.0000000000
245 -1756.0000000000
274 -1722.0000000000
537 -1708.0000000000
671 -1707.0000000000
739 -1699.0000000000
880 -1688.0000000000
916 -1678.0000000000
1017 -1676.0000000000
1084 -1675.0000000000
1137 -1653.0000000000
1235 -1646.0000000000
1241 -1645.0000000000
1296 -1640.0000000000
1318 -1635.0000000000
1419 -1625.0000000000
1447 -1613.0000000000
1487 -1612.0000000000
1507 -1605.0000000000
1535 -1601.0000000000
1558 -1593.0000000000
1595 -1588.0000000000
1599 -1585.0000000000
1614 -1582.0000000000
1636 -1580.0000000000
1651 -1574.0000000000
1667 -1571.0000000000
1682 -1565.0000000000
1692 -1557.0000000000
1727 -1553.0000000000
1749 -1549.0000000000
1752 -1537.0000000000
1807 -1514.0000000000
1842 -1513.0000000000
1870 -1512.0000000000
1893 -1505.0000000000
1903 -1502.0000000000
1925 -1496.0000000000
1958 -1495.0000000000
1960 -1494.0000000000
1977 -1493.0000000000
1989 -1482.0000000000
2044 -1476.0000000000
2115 -1469.0000000000
2143 -1468.0000000000
2148 -1457.0000000000
2226 -1455.0000000000
2239 -1453.0000000000
2254 -1447.0000000000
2297 -1445.0000000000
2320 -1441.0000000000
2348 -1438.0000000000
2382 -1433.0000000000
2386 -1428.0000000000
2417 -1427.0000000000
2452 -1426.0000000000
2457 -1410.0000000000
2482 -1404.0000000000
2536 -1403.0000000000
2537 -1400.0000000000
2597 -1393.0000000000
2776 -1391.0000000000
2804 -1388.0000000000
2810 -1385.0000000000
2850 -1384.0000000000
2855 -1382.0000000000
2980 -1378.0000000000
3020 -1376.0000000000
3096 -1374.0000000000
3137 -1371.0000000000
3161 -1364.0000000000
3380 -1357.0000000000
3508 -1355.0000000000
3556 -1350.0000000000
3656 -1347.0000000000
3731 -1341.0000000000
3818 -1333.0000000000
4132 -1328.0000000000
4147 -1323.0000000000
4289 -1322.0000000000
4339 -1318.0000000000
4414 -1308.0000000000
4534 -1307.0000000000
4569 -1306.0000000000
4632 -1303.0000000000
4682 -1297.0000000000
4846 -1287.0000000000
4916 -1281.0000000000
4944 -1280.0000000000
5049 -1276.0000000000
5062 -1272.0000000000
5341 -1259.0000000000
5739 -1252.0000000000
5877 -1251.0000000000
6111 -1249.0000000000
6243 -1238.0000000000
6423 -1234.0000000000
6714 -1233.0000000000
6790 -1231.0000000000
7069 -1225.0000000000
7077 -1219.0000000000
7152 -1216.0000000000
7295 -1215.0000000000
7434 -1213.0000000000
7441 -1212.0000000000
7449 -1207.0000000000
7612 -1195.0000000000
8317 -1188.0000000000
8531 -1187.0000000000
8767 -1185.0000000000
8962 -1181.0000000000
9134 -1178.0000000000
9145 -1177.0000000000
9226 -1171.0000000000
9570 -1161.0000000000
9722 -1156.0000000000
