evaluations raw_y
1 679431.0398017283
2 686222.8491237969
3 716444.4556865949
28 719286.3844719663
31 721077.5515126123
40 743597.5674861164
88 757851.9482504794
131 759071.4772047497
151 762791.4583382341
157 762955.1806373002
177 764339.8219857076
206 773629.3019951885
223 773729.4269960125
247 777639.0213689088
295 792311.1321415949
411 793271.6718229102
449 796996.6412773728
593 797032.2023459030
604 800881.0398983845
757 802170.8575243017
784 808546.7809533799
815 820166.3972065038
847 821052.9900491885
944 823145.8718591292
1012 827261.6233825065
1025 834439.2167524715
1078 835437.8387303668
1105 840388.2135525368
1165 847733.2378276153
1219 847762.2096924033
1239 852642.3034848154
1302 854740.9978688372
1320 856220.8486865335
1427 860665.1651731062
1456 865351.0223175893
1465 873529.7694674052
1525 873968.1469409285
1549 877160.9341660832
1552 878073.5648873434
1553 879922.6295836770
1573 880820.2627586015
1600 889304.8677836076
1603 890120.3947963730
1609 892058.4160952757
1626 892500.7157415434
1648 892971.5134810940
1657 896531.7907409648
1683 899945.1742899839
1716 904245.9122310698
1734 904579.2052065820
1744 904793.4596101047
1750 907087.0560676424
1793 911954.9259745169
1865 914705.1065175222
1946 915425.6534488060
1956 917148.6389968520
1970 920699.0079175213
2033 922102.6412587665
2042 926526.6793452543
2069 933665.8408660018
2086 934244.2426083663
2143 936101.5163433169
2144 936135.8626579227
2171 937407.9512323150
2184 940302.2248072387
2250 940741.0651425748
2292 940956.5468172699
2296 942447.1407522395
2308 942796.7749423352
2338 947606.9623479464
2425 949595.1233727132
2436 950963.4166137641
2441 951536.4499732058
2445 951581.8853060794
2520 953455.2867648869
2539 953941.7793911236
2598 956099.9299691076
2662 957559.5900245688
2671 957609.3988022810
2689 958255.0867286110
2743 959040.7690723706
2760 960176.8757548520
2762 962267.1672230589
2813 967934.7258278349
2890 968546.0318387300
2924 968796.5854325138
2938 974569.4284599939
3145 974691.4232476115
3151 976150.8236483199
3190 976855.6277563215
3225 977743.7886616922
3290 979308.3727195149
3323 980146.0697462132
3374 980293.1801911546
3416 982127.5462605376
3678 982794.4131501358
3753 985532.6099795324
3796 986211.0180941214
3915 987313.9746884771
3970 988326.6975947410
4050 990109.7902895430
4126 990770.6811952263
4215 992198.8771909648
4328 992387.0133162818
4351 993292.9204930256
