evaluations raw_y
1 0.0000000000
2 8.4500000000
3 12.8600000000
4 19.6400000000
6 32.7000000000
7 39.7000000000
11 49.1900000000
15 59.4200000000
29 72.1200000000
35 105.4100000000
38 111.8000000000
44 130.7200000000
74 185.5100000000
111 195.7100000000
252 198.5400000000
1772 218.6600000000
4477 220.6300000000
6657 256.6900000000
8497 264.1300000000
10000 0.0000000000
evaluations raw_y
1 0.0000000000
2 19.3300000000
3 30.2600000000
5 39.8300000000
11 53.0400000000
14 55.4700000000
24 61.8800000000
26 78.0400000000
46 111.6200000000
137 130.0100000000
140 140.1800000000
154 143.9100000000
382 148.4700000000
546 150.1500000000
635 163.7200000000
861 189.0100000000
1774 198.3700000000
5918 213.7800000000
8389 220.0300000000
8575 225.9300000000
8730 241.5600000000
10000 12.1400000000
evaluations raw_y
1 0.0000000000
3 13.3300000000
5 15.0500000000
9 32.5200000000
10 46.9300000000
11 47.2900000000
12 51.2400000000
14 60.3000000000
17 76.9700000000
18 79.2900000000
20 92.0000000000
25 100.4000000000
27 109.5200000000
54 136.5400000000
78 136.8100000000
466 164.4100000000
1760 215.8400000000
2576 224.1400000000
2665 238.0900000000
3295 262.4600000000
10000 0.0000000000
evaluations raw_y
1 0.0000000000
2 26.6700000000
7 27.1500000000
13 27.8400000000
14 38.3700000000
16 41.9900000000
26 50.6100000000
31 109.1900000000
114 111.6300000000
296 143.7600000000
353 162.0600000000
531 168.5200000000
711 169.1600000000
837 181.8700000000
942 192.4500000000
1821 197.3400000000
2400 201.5900000000
2825 206.8600000000
6671 242.1400000000
10000 0.0000000000
evaluations raw_y
1 0.0000000000
2 7.1000000000
3 14.8700000000
4 15.0200000000
5 18.1100000000
11 19.2100000000
13 29.6100000000
14 35.3400000000
23 39.6400000000
24 40.7600000000
29 47.4200000000
33 60.9900000000
56 77.1200000000
69 91.0100000000
101 104.1300000000
116 118.8200000000
202 169.3400000000
844 178.2000000000
1174 180.8900000000
6011 182.1300000000
7026 199.0900000000
10000 13.2500000000
