evaluations raw_y
1 -2851.0000000000
4 -1719.1065901213
9 -1443.4659082985
12 -787.7324948394
26 -507.9401183373
37 86.0373377962
40 890.4871164283
79 1542.6827402577
84 1803.5765503600
99 2507.7198001840
123 2811.9323043326
152 3440.7472914187
181 4177.6318685429
234 4428.6868556883
240 5391.3698058515
295 6740.9394267939
397 7609.9801187731
1027 7739.5539683868
1086 8378.1757491726
1388 9182.2676813585
1995 10576.1330718267
2053 11303.0716773260
2318 12134.6682202608
3931 12275.6484628020
3959 14329.9469509121
4264 15909.5251868097
4312 16789.1438863265
9696 17383.6968676473
10000 -1716.4209209942
evaluations raw_y
1 -2851.0000000000
6 -1699.2317506909
9 -1531.4920787647
13 -303.6203105704
22 738.3951332063
44 2699.4464888029
66 3805.2525454042
67 5012.7977006442
132 5774.9448170237
179 6735.5213157845
272 6756.1562120082
320 7031.5691614323
357 7918.3750076285
500 8872.8047553405
585 9120.9757139125
643 9355.7632303026
692 10922.4186029458
1022 11322.6101108497
1437 11716.2627717902
1451 11844.0641686829
1517 11914.2081128086
2677 12068.1004339251
2760 12731.7091260978
3478 13503.3961486387
6303 13605.8624616826
8125 14417.1871407382
8741 14668.8053037580
10000 -1940.9643708450
evaluations raw_y
1 -2851.0000000000
2 -2464.0218207155
3 -1255.5536750371
9 -455.0048898628
10 215.9152704067
20 558.9079387032
37 1203.1266321506
39 1935.6055847879
47 2442.3425918157
57 3148.2266984647
74 3719.0350050841
79 4641.9795556165
175 7245.2582779501
214 7755.0440661514
235 8071.7446253486
281 9235.9635371689
321 9338.7061401391
330 9773.4223766949
393 10209.9406651033
669 11475.1887862692
975 11496.3414304632
1442 11510.2387387938
1451 12345.1801732364
1960 12655.9420577068
1987 12793.6656246271
2383 13334.1133356341
3339 13932.9154354273
3446 14099.8460890883
3616 14839.5754607503
4083 14874.5241736983
4189 15250.1749897860
4705 15359.9283433646
5802 16474.1683322602
5921 16522.6301546530
8254 18602.5769813203
10000 -1980.1167852616
evaluations raw_y
1 -2851.0000000000
2 -2346.1248894078
3 -2039.2918806028
4 -1586.6016887170
5 -1219.7014481371
15 49.4649607731
29 278.3021287776
36 983.8551081563
40 1405.4899525507
43 2393.1597081271
49 3636.3075686755
54 4619.7844247597
58 4997.2537859911
65 6281.6642765382
85 7308.4933639336
100 8124.9633870867
101 8155.8460259750
126 8602.4693754994
139 9659.9300746437
261 10009.8790727760
289 10510.1401941025
316 11062.1100377382
456 11212.5607231911
459 11925.8239733293
465 12530.1474860032
556 12639.9033470157
590 13474.8555633844
616 14567.5844462218
683 16555.3865104702
1257 17610.7482506316
1334 18162.5616982620
1597 19425.5016310813
1694 20432.8404312659
1748 21379.0863252628
2494 23142.8463603342
3265 23973.9820007937
4625 24239.7943440051
4933 25055.6356683180
5063 26093.2417681714
6314 26300.9717349203
6320 26447.1766958609
6622 27096.9250834929
6855 27341.5773606170
7506 28051.6369803730
8746 29979.3076855948
10000 -2851.0000000000
evaluations raw_y
1 -2851.0000000000
2 -1957.0745665709
3 -1441.3040811646
4 -741.3686268788
6 -63.3897967130
9 686.0012338920
21 1725.6130989451
40 2105.1005601720
53 3595.1185387545
57 5501.3188584509
119 5746.7243592578
236 5957.9787374939
259 6135.9256049449
280 6355.2188322998
288 7996.7629118216
294 9917.0615239352
454 10555.0407072168
642 10916.1906836532
714 11968.7532264031
761 12980.1533213895
1025 13006.3569792736
1950 13307.7710259359
2080 14843.3156066877
5459 16697.3230656793
6889 17011.2116663425
7333 17632.7683784774
9691 18537.0100754951
10000 -2851.0000000000
