evaluations raw_y
1 -104.0000000000
4 -78.0000000000
9 -56.0000000000
33 -8.0000000000
34 -6.0000000000
191 -2.0000000000
311 -1.0000000000
395 425.0000000000
422 474.0000000000
454 485.0000000000
469 489.0000000000
482 503.0000000000
518 505.0000000000
584 506.0000000000
624 507.0000000000
629 513.0000000000
646 515.0000000000
672 522.0000000000
785 523.0000000000
907 525.0000000000
972 528.0000000000
1070 539.0000000000
1183 543.0000000000
1352 544.0000000000
1422 547.0000000000
1596 548.0000000000
2066 549.0000000000
2114 554.0000000000
2164 555.0000000000
2184 556.0000000000
2755 557.0000000000
3334 558.0000000000
10000 558.0000000000
evaluations raw_y
1 -29.0000000000
41 -4.0000000000
274 -3.0000000000
305 -2.0000000000
350 -1.0000000000
454 463.0000000000
496 491.0000000000
534 498.0000000000
592 501.0000000000
598 502.0000000000
666 505.0000000000
679 515.0000000000
990 516.0000000000
1026 521.0000000000
1198 526.0000000000
1604 531.0000000000
1774 533.0000000000
2044 534.0000000000
2100 535.0000000000
2169 536.0000000000
2386 540.0000000000
2642 541.0000000000
2870 542.0000000000
2971 543.0000000000
3155 544.0000000000
3182 546.0000000000
3661 550.0000000000
5373 554.0000000000
10000 -1.0000000000
evaluations raw_y
1 -408.0000000000
2 -256.0000000000
3 -106.0000000000
12 -3.0000000000
213 -1.0000000000
313 470.0000000000
448 489.0000000000
467 502.0000000000
555 505.0000000000
614 507.0000000000
664 508.0000000000
765 509.0000000000
829 519.0000000000
854 520.0000000000
1001 529.0000000000
1161 539.0000000000
1753 544.0000000000
2139 549.0000000000
2595 550.0000000000
2741 552.0000000000
2923 553.0000000000
3145 554.0000000000
3160 556.0000000000
10000 556.0000000000
