evaluations raw_y
1 -2599.0000000000
6 -1868.0000000000
8 -976.0000000000
17 -376.0000000000
19 -196.0000000000
20 -70.0000000000
44 -32.0000000000
262 -31.0000000000
277 -28.0000000000
432 -25.0000000000
504 -24.0000000000
659 -23.0000000000
673 -22.0000000000
711 -21.0000000000
844 -20.0000000000
888 -19.0000000000
1176 -18.0000000000
1375 -17.0000000000
1457 -16.0000000000
1551 -15.0000000000
1908 -14.0000000000
2230 -13.0000000000
2634 -12.0000000000
2833 -11.0000000000
3251 -10.0000000000
3544 -9.0000000000
3674 -8.0000000000
3793 -7.0000000000
4115 -6.0000000000
4737 -5.0000000000
5153 -4.0000000000
5240 -3.0000000000
5736 -2.0000000000
5951 -1.0000000000
6501 149.3900000000
6562 165.7300000000
6685 168.8500000000
6721 171.6100000000
7092 172.0400000000
7194 173.3700000000
7268 176.0200000000
7460 230.9200000000
7536 254.2200000000
7538 268.5100000000
7694 283.4700000000
8509 284.1400000000
8539 387.5800000000
8668 401.8800000000
8752 403.5200000000
8946 405.2600000000
8963 406.1900000000
8991 406.8100000000
9052 408.6200000000
9190 411.9100000000
9243 416.6500000000
9356 419.8400000000
9694 423.5400000000
10000 398.2300000000
evaluations raw_y
1 -137.0000000000
13 -115.0000000000
50 -81.0000000000
357 -80.0000000000
400 -78.0000000000
407 -72.0000000000
494 -70.0000000000
584 -69.0000000000
598 -67.0000000000
642 -65.0000000000
663 -63.0000000000
709 -61.0000000000
718 -60.0000000000
766 -58.0000000000
803 -55.0000000000
904 -53.0000000000
1040 -51.0000000000
1182 -50.0000000000
1319 -49.0000000000
1645 -48.0000000000
1725 -47.0000000000
1751 -46.0000000000
1828 -45.0000000000
1908 -44.0000000000
2181 -43.0000000000
2292 -42.0000000000
2462 -41.0000000000
2729 -40.0000000000
2830 -39.0000000000
3020 -38.0000000000
3151 -37.0000000000
3254 -36.0000000000
3403 -34.0000000000
3671 -33.0000000000
3917 -32.0000000000
4046 -31.0000000000
4385 -30.0000000000
4560 -29.0000000000
4740 -28.0000000000
4949 -27.0000000000
5169 -26.0000000000
5229 -25.0000000000
5444 -24.0000000000
5472 -23.0000000000
5838 -22.0000000000
5929 -21.0000000000
6179 -20.0000000000
6254 -19.0000000000
6374 -18.0000000000
6445 -17.0000000000
6602 -16.0000000000
6710 -15.0000000000
6753 -14.0000000000
6965 -13.0000000000
7102 -12.0000000000
7182 -11.0000000000
7349 -10.0000000000
7385 -9.0000000000
7557 -7.0000000000
8332 -6.0000000000
8670 -5.0000000000
8878 -4.0000000000
10000 -4.0000000000
evaluations raw_y
1 -1653.0000000000
4 -1343.0000000000
5 46.4500000000
194 59.0800000000
204 111.9100000000
253 150.0400000000
315 164.9400000000
367 182.8800000000
586 184.1400000000
613 195.6200000000
641 195.7900000000
734 200.9600000000
761 212.8200000000
785 217.0200000000
842 227.6300000000
964 230.5200000000
1205 250.5800000000
1302 253.2000000000
1549 280.8700000000
1711 283.2900000000
2013 289.5700000000
2222 296.6500000000
2311 303.2600000000
2356 308.0700000000
2370 308.2700000000
2469 327.6200000000
2861 411.0300000000
2907 424.9200000000
2976 458.4600000000
3015 494.9900000000
3224 540.8400000000
3810 545.3600000000
3908 550.4400000000
4160 625.1400000000
4225 642.8200000000
4348 655.5000000000
4718 655.6100000000
4835 661.7000000000
5180 668.3400000000
5685 671.4200000000
5795 671.8300000000
6048 702.4700000000
6246 713.0700000000
9557 725.0400000000
9671 742.0800000000
10000 623.3600000000
