evaluations raw_y
1 -104.0000000000
4 -78.0000000000
9 -56.0000000000
1812 -55.0000000000
2035 -54.0000000000
2980 -53.0000000000
3115 -52.0000000000
3634 -51.0000000000
5396 -50.0000000000
6606 -49.0000000000
7593 -48.0000000000
8597 -47.0000000000
9618 -46.0000000000
10000 -213.0000000000
evaluations raw_y
1 -29.0000000000
273 -28.0000000000
837 -27.0000000000
1522 -26.0000000000
2689 -25.0000000000
3650 -24.0000000000
4111 -23.0000000000
6759 -22.0000000000
7004 -21.0000000000
10000 -171.0000000000
evaluations raw_y
1 -408.0000000000
2 -256.0000000000
3 -106.0000000000
12 -3.0000000000
180 -2.0000000000
1862 -1.0000000000
4015 440.0000000000
10000 440.0000000000
