evaluations raw_y
1 -2569.0000000000
6 -1838.0000000000
8 -946.0000000000
17 -346.0000000000
19 -166.0000000000
20 -40.0000000000
8678 -38.0000000000
9019 -37.0000000000
10000 -1134.0000000000
evaluations raw_y
1 -107.0000000000
13 -85.0000000000
4120 -84.0000000000
7857 -83.0000000000
10000 -1212.0000000000
evaluations raw_y
1 -1623.0000000000
4 -1313.0000000000
5 41.3400000000
24 312.8500000000
66 313.5200000000
79 322.2300000000
144 344.6000000000
170 359.2000000000
444 366.6300000000
534 366.7900000000
811 369.3700000000
1435 372.8900000000
1713 374.6600000000
3639 379.4800000000
4423 389.5300000000
10000 -1114.0000000000
