evaluations raw_y
1 0.0000000000
3 10.0800000000
4 19.2000000000
6 24.4400000000
11 27.2200000000
15 35.1800000000
23 38.6700000000
34 44.0400000000
48 45.8700000000
82 53.9600000000
84 69.5400000000
139 87.7400000000
382 89.5300000000
402 92.3500000000
574 111.1500000000
626 184.3900000000
1198 192.2700000000
1526 205.7200000000
1878 227.3800000000
4460 246.4200000000
10000 10.7900000000
evaluations raw_y
1 0.0000000000
2 27.0400000000
9 32.0800000000
18 33.9800000000
21 42.9100000000
23 43.4300000000
24 46.4700000000
30 54.9600000000
32 161.0700000000
33 163.6900000000
46 181.9500000000
61 203.3700000000
78 212.5300000000
151 224.0200000000
4580 227.6500000000
7965 232.6300000000
8477 233.3800000000
10000 14.4100000000
evaluations raw_y
1 0.0000000000
2 10.1200000000
3 25.0000000000
6 48.4000000000
17 49.1200000000
18 83.0900000000
22 92.6500000000
48 107.2500000000
106 120.8400000000
462 149.7500000000
763 156.9100000000
1043 200.2700000000
1512 210.7200000000
3544 211.7000000000
5623 235.6000000000
5846 258.1000000000
10000 3.7700000000
evaluations raw_y
1 0.0000000000
3 39.2300000000
4 52.7900000000
5 55.0400000000
7 66.5100000000
8 73.8700000000
23 78.1300000000
33 99.8600000000
52 110.7200000000
119 111.6600000000
198 127.4400000000
207 202.1000000000
410 213.3000000000
508 229.0200000000
648 229.7300000000
806 252.5800000000
894 253.3700000000
1436 258.4500000000
1852 260.4400000000
1902 266.8600000000
4201 269.8800000000
6812 270.8700000000
10000 4.1300000000
evaluations raw_y
1 0.0000000000
2 25.2300000000
3 28.1700000000
4 48.8200000000
14 57.3600000000
15 71.7500000000
35 75.4000000000
43 78.3500000000
44 94.3800000000
126 115.0800000000
173 151.7300000000
181 162.8300000000
229 174.4400000000
250 175.7600000000
424 183.4200000000
468 205.6700000000
481 216.4500000000
1055 221.7700000000
1542 222.4500000000
7174 227.1500000000
10000 7.1000000000
