evaluations raw_y
1 -2851.0000000000
2 -2401.0679127824
3 -1768.3445538652
7 -1170.4454600998
14 -717.0985328125
15 -653.6669251157
16 1776.1848416930
20 2445.8848976289
58 2986.5465140178
61 3603.7186615054
93 4142.7633753667
123 4519.4046016452
146 4727.1634552097
166 5256.1388459167
167 5421.1218134836
212 6270.3910839495
325 7749.9564487624
481 9077.8807393614
752 9181.5140926024
786 10577.3363527077
1012 10704.1625467197
1074 11015.7733486312
1139 12217.1537233010
1196 12524.1275046633
1303 13197.7528768550
1348 13896.5706221694
1875 14467.8129056065
1990 14578.5046216443
2407 15594.0181258432
2460 18202.9083807480
2532 19418.3059946731
2760 20138.2418961026
3016 20817.0180600094
3439 21559.0607947327
3853 21629.4082154832
4238 22406.6055953756
4554 22885.4694638119
4661 23178.4091640975
4810 23380.3234987627
6044 24059.0962944182
6430 24227.6188927851
7067 24640.3659282581
10000 -2138.3595228723
evaluations raw_y
1 -2851.0000000000
3 -1251.0799306418
12 -630.6223732882
15 -281.9285011414
29 84.8844710671
45 656.7320803371
46 2094.6969551902
69 2198.7036765304
79 3391.0207954201
102 3899.2088704856
118 4758.0471963506
150 5516.8063164183
167 6413.9033404975
269 6602.3257454924
300 7041.8289503184
323 7624.2986709715
376 8492.1618362067
403 8783.7213438276
682 9476.9747293144
857 9625.8903542869
868 10297.0673120955
1428 10621.3802894745
2281 10839.9116008186
2627 11261.9760358162
3068 12121.6263609061
4730 12239.5708508249
4781 12885.8012467832
5380 13563.7220118008
5658 13931.9183313376
6666 13957.5311240388
7693 14241.8613152504
10000 -2851.0000000000
evaluations raw_y
1 -2851.0000000000
2 -2626.3862010159
6 -2547.7521016439
9 -1151.6537857715
10 -189.7777173791
12 -90.9789223414
15 -50.4906272663
16 1101.3415735286
20 1516.5066942925
22 1865.3529023124
26 3716.6694084761
32 4464.0689385878
53 4468.1875075384
56 5207.4015615401
84 6101.7637497135
99 6106.1194005057
110 7647.7979131775
128 8027.8131310459
152 8472.8713899373
169 8598.3630548048
269 9216.1565069154
325 9823.1094381125
361 11228.8633430313
496 12037.6067584408
538 12418.8278266104
554 12491.6145929917
557 14240.4910910978
561 15335.2167307431
591 16120.3205265535
672 17992.0962529356
1302 18184.4624847863
1468 18389.1105551370
1480 18518.1294060615
1514 18976.3909769203
1587 19571.1463422549
1748 19628.4940079296
1877 20916.1073640301
1944 21636.2017609893
2044 22423.7991015480
2350 22976.1524417780
2615 24179.1177434210
3049 24611.4302150219
3137 24669.8204010917
5779 25123.8837633643
6706 26016.4462274945
8069 26471.6356031384
10000 -2134.6463352672
evaluations raw_y
1 -2851.0000000000
2 -2284.1877868718
3 -1504.0248344402
8 -941.0720781604
13 -220.0977638990
15 -166.7826181594
18 1304.5782655700
19 1436.4424276100
41 1898.7129311210
68 2127.8345413274
76 2431.6492472332
81 2794.0271156510
107 3578.8856073147
121 3678.5952713226
130 4314.7234639428
144 4325.1816107278
147 5104.6693841678
167 6546.9343562749
211 6628.6860290460
288 7646.3868671706
346 7769.2352663214
348 8173.2810603826
355 9374.2954176370
367 10434.7945550348
469 10633.6978720539
470 11679.3078648009
491 11863.3948690664
509 12219.7690236315
553 14810.2459505725
646 15920.1830184379
663 17207.2683333435
692 17537.1401386980
769 18299.4763658619
830 18322.2326619434
908 18373.3405212724
912 18643.5588506681
989 19041.1199398306
994 19550.6238756422
1028 20768.6969947054
1236 21791.5643522947
1338 24334.4791637975
1866 25840.7616889083
2197 26800.0647025161
2212 27389.6856300768
2220 27777.6061932736
3067 28641.6973000845
3375 29421.1783358842
3930 30301.6092307155
4414 31921.6754658431
4899 32009.7148682610
7594 32786.0619657434
10000 -592.6690890423
evaluations raw_y
1 -2851.0000000000
2 -1748.8627464206
5 -1477.6169122345
11 -1216.8137234619
14 -340.4680913939
20 271.3276464944
31 410.6302756248
36 491.4297585037
39 518.8921890333
54 1742.0201535881
81 2132.8148160238
145 3161.5849047130
158 3455.3917607228
165 4009.9315654289
166 4481.2867880983
201 4970.1847678069
284 5952.6480907731
314 6101.3291751249
597 6194.8889542228
951 7189.9068791693
1508 8695.5543989151
2390 9138.0677884159
2617 9532.4773333939
2811 10315.4427843281
3985 10935.1524931393
6479 12259.8805484064
7643 12659.0193930212
10000 -2846.8373176136
