evaluations raw_y
1 -2599.0000000000
6 -1868.0000000000
8 -976.0000000000
17 -376.0000000000
19 -196.0000000000
20 -70.0000000000
129 -69.0000000000
185 -68.0000000000
252 -67.0000000000
313 -66.0000000000
344 -65.0000000000
370 -64.0000000000
501 -63.0000000000
615 -62.0000000000
853 -61.0000000000
1280 -60.0000000000
1558 -59.0000000000
1621 -58.0000000000
1649 -57.0000000000
1867 -56.0000000000
1943 -55.0000000000
2037 -54.0000000000
2109 -53.0000000000
2411 -52.0000000000
2454 -51.0000000000
2552 -50.0000000000
2605 -49.0000000000
2778 -48.0000000000
2964 -47.0000000000
3069 -46.0000000000
3127 -45.0000000000
3169 -44.0000000000
3291 -43.0000000000
3450 -42.0000000000
3529 -41.0000000000
3650 -40.0000000000
3729 -39.0000000000
3827 -38.0000000000
3994 -37.0000000000
4268 -36.0000000000
4388 -35.0000000000
4557 -34.0000000000
4699 -33.0000000000
4748 -32.0000000000
4912 -31.0000000000
5012 -30.0000000000
5135 -29.0000000000
5381 -28.0000000000
5482 -27.0000000000
5524 -26.0000000000
5669 -25.0000000000
5772 -24.0000000000
5837 -23.0000000000
5916 -22.0000000000
6027 -21.0000000000
6048 -20.0000000000
6227 -19.0000000000
6680 -18.0000000000
7029 -17.0000000000
7320 -16.0000000000
8293 -15.0000000000
8355 -14.0000000000
8496 -13.0000000000
8545 -12.0000000000
9193 -11.0000000000
9358 -10.0000000000
9468 -9.0000000000
9483 -8.0000000000
10000 -8.0000000000
evaluations raw_y
1 -137.0000000000
13 -115.0000000000
71 -113.0000000000
83 -112.0000000000
99 -107.0000000000
121 -104.0000000000
146 -100.0000000000
161 -99.0000000000
199 -98.0000000000
212 -96.0000000000
219 -95.0000000000
234 -94.0000000000
254 -93.0000000000
288 -92.0000000000
323 -90.0000000000
361 -89.0000000000
379 -88.0000000000
382 -87.0000000000
429 -86.0000000000
456 -85.0000000000
503 -84.0000000000
691 -83.0000000000
791 -82.0000000000
837 -81.0000000000
948 -80.0000000000
1023 -79.0000000000
1084 -78.0000000000
1321 -77.0000000000
1382 -76.0000000000
1479 -75.0000000000
1496 -74.0000000000
1591 -73.0000000000
1688 -72.0000000000
1748 -71.0000000000
1855 -70.0000000000
1980 -69.0000000000
2053 -68.0000000000
2075 -67.0000000000
2115 -66.0000000000
2260 -65.0000000000
2455 -64.0000000000
2536 -63.0000000000
2590 -62.0000000000
2765 -61.0000000000
2877 -60.0000000000
2905 -59.0000000000
3035 -58.0000000000
3102 -57.0000000000
3149 -56.0000000000
3172 -55.0000000000
3217 -53.0000000000
3271 -52.0000000000
3549 -51.0000000000
3732 -50.0000000000
3841 -49.0000000000
3863 -48.0000000000
3907 -47.0000000000
3954 -46.0000000000
3982 -45.0000000000
4052 -44.0000000000
4251 -43.0000000000
4594 -42.0000000000
4901 -41.0000000000
5074 -40.0000000000
5370 -39.0000000000
5478 -38.0000000000
5989 -37.0000000000
6071 -36.0000000000
6189 -35.0000000000
6313 -34.0000000000
6348 -33.0000000000
6460 -32.0000000000
6553 -31.0000000000
6641 -30.0000000000
6923 -29.0000000000
7073 -28.0000000000
7502 -27.0000000000
7681 -26.0000000000
7896 -25.0000000000
8331 -24.0000000000
8543 -23.0000000000
8812 -22.0000000000
9621 -21.0000000000
9764 -20.0000000000
10000 -21.0000000000
evaluations raw_y
1 -1653.0000000000
4 -1343.0000000000
5 38.1000000000
48 112.9700000000
69 115.5400000000
92 128.8100000000
96 134.5300000000
101 166.3500000000
152 177.2300000000
231 196.7900000000
278 217.2800000000
344 225.9100000000
392 232.0400000000
467 239.8000000000
474 240.4400000000
481 243.3000000000
539 244.0400000000
548 249.7600000000
621 257.6500000000
628 259.1500000000
709 264.5200000000
733 281.8900000000
755 300.5500000000
769 323.3100000000
797 332.2400000000
808 345.4300000000
810 348.5500000000
851 355.3500000000
853 367.0900000000
886 367.5500000000
997 370.4700000000
1034 370.9000000000
1094 371.7300000000
1180 386.2000000000
1183 489.3200000000
1217 489.7600000000
1283 495.4900000000
1288 496.0400000000
1302 514.0100000000
1429 514.4600000000
1492 517.8400000000
1680 518.1100000000
1691 521.8100000000
1707 526.6100000000
1776 532.0400000000
1937 538.7800000000
2080 541.0700000000
2110 552.5900000000
2679 554.3300000000
3421 557.5700000000
3449 563.0400000000
3473 577.4100000000
3650 579.5300000000
3810 594.6000000000
4306 594.7500000000
4355 600.8400000000
4539 624.8700000000
4579 637.9100000000
4610 640.7500000000
4694 654.3800000000
4714 656.0400000000
4723 659.1300000000
5024 661.3500000000
5063 662.4800000000
5143 663.4800000000
5235 671.5500000000
5518 692.7300000000
5742 700.9800000000
5881 702.4100000000
5978 709.6200000000
6283 709.6500000000
6321 714.6500000000
6409 744.9000000000
6446 757.0000000000
6453 798.3500000000
6517 802.8600000000
6663 806.7900000000
6805 810.9500000000
6821 811.1700000000
6918 812.1900000000
7052 818.3200000000
7123 819.0400000000
7288 819.7300000000
7422 823.0500000000
7707 834.6200000000
7955 835.5700000000
8965 836.0900000000
9686 837.1100000000
10000 -3.0000000000
