evaluations raw_y
1 -2609.0000000000
6 -1878.0000000000
8 -986.0000000000
74 -985.0000000000
95 -984.0000000000
153 -983.0000000000
170 -982.0000000000
294 -981.0000000000
363 -980.0000000000
512 -979.0000000000
673 -978.0000000000
737 -976.0000000000
818 -975.0000000000
895 -974.0000000000
953 -973.0000000000
1068 -972.0000000000
1075 -970.0000000000
1149 -969.0000000000
1278 -967.0000000000
1288 -966.0000000000
1450 -965.0000000000
1539 -963.0000000000
1579 -962.0000000000
1636 -961.0000000000
1679 -959.0000000000
1717 -958.0000000000
1899 -957.0000000000
1947 -956.0000000000
2026 -955.0000000000
2053 -953.0000000000
2077 -952.0000000000
2254 -950.0000000000
2303 -949.0000000000
2336 -948.0000000000
2352 -947.0000000000
2421 -946.0000000000
2613 -945.0000000000
2682 -944.0000000000
2731 -943.0000000000
2749 -941.0000000000
2775 -940.0000000000
2799 -939.0000000000
2913 -938.0000000000
2978 -937.0000000000
3178 -936.0000000000
3276 -935.0000000000
3336 -934.0000000000
3424 -933.0000000000
3475 -932.0000000000
3583 -931.0000000000
3695 -930.0000000000
3857 -929.0000000000
3884 -927.0000000000
3911 -926.0000000000
3926 -924.0000000000
4071 -923.0000000000
4087 -922.0000000000
4093 -921.0000000000
4283 -920.0000000000
4437 -919.0000000000
4479 -918.0000000000
4497 -917.0000000000
4518 -916.0000000000
4734 -915.0000000000
4754 -914.0000000000
4765 -913.0000000000
4784 -912.0000000000
4964 -911.0000000000
5081 -910.0000000000
5239 -908.0000000000
5272 -907.0000000000
5326 -906.0000000000
5481 -905.0000000000
5620 -903.0000000000
5646 -902.0000000000
5748 -901.0000000000
5769 -900.0000000000
5825 -899.0000000000
5949 -898.0000000000
6015 -897.0000000000
6048 -896.0000000000
6193 -895.0000000000
6201 -894.0000000000
6379 -893.0000000000
6386 -892.0000000000
6432 -890.0000000000
6444 -889.0000000000
6464 -888.0000000000
6553 -887.0000000000
6673 -886.0000000000
6693 -885.0000000000
6758 -884.0000000000
6762 -883.0000000000
6788 -882.0000000000
6946 -881.0000000000
7134 -879.0000000000
7208 -878.0000000000
7270 -877.0000000000
7277 -876.0000000000
7365 -875.0000000000
7580 -874.0000000000
7691 -873.0000000000
7706 -872.0000000000
7764 -871.0000000000
7802 -870.0000000000
7819 -869.0000000000
7844 -868.0000000000
7862 -867.0000000000
8133 -866.0000000000
8168 -865.0000000000
8173 -864.0000000000
8330 -863.0000000000
8560 -862.0000000000
8626 -861.0000000000
8711 -860.0000000000
8722 -859.0000000000
8805 -858.0000000000
8810 -857.0000000000
8945 -856.0000000000
8948 -855.0000000000
9013 -854.0000000000
9106 -853.0000000000
9148 -852.0000000000
9290 -851.0000000000
9418 -850.0000000000
9425 -849.0000000000
9468 -848.0000000000
9490 -847.0000000000
9570 -846.0000000000
9612 -845.0000000000
9640 -844.0000000000
9964 -843.0000000000
10000 -1508.0000000000
evaluations raw_y
1 -147.0000000000
391 -146.0000000000
560 -145.0000000000
988 -144.0000000000
993 -143.0000000000
1205 -142.0000000000
1362 -141.0000000000
1971 -140.0000000000
2347 -139.0000000000
3185 -138.0000000000
3301 -137.0000000000
3476 -136.0000000000
3659 -135.0000000000
4426 -134.0000000000
4571 -133.0000000000
5547 -132.0000000000
7428 -131.0000000000
7440 -130.0000000000
7945 -129.0000000000
8001 -128.0000000000
8597 -127.0000000000
8851 -126.0000000000
10000 -476.0000000000
evaluations raw_y
1 -1663.0000000000
4 -1353.0000000000
5 42.4900000000
14 57.4900000000
23 68.9200000000
139 79.2700000000
307 86.4300000000
623 99.8900000000
10000 -1368.0000000000
