evaluations raw_y
1 -1966.0000000000
3 -1965.0000000000
4 -1963.0000000000
13 -1962.0000000000
14 -1961.0000000000
15 -1960.0000000000
17 -1959.0000000000
23 -1957.0000000000
30 -1956.0000000000
34 -1955.0000000000
38 -1953.0000000000
42 -1952.0000000000
50 -1951.0000000000
59 -1950.0000000000
76 -1949.0000000000
77 -1948.0000000000
78 -1947.0000000000
79 -1946.0000000000
80 -1945.0000000000
84 -1944.0000000000
93 -1942.0000000000
97 -1941.0000000000
98 -1940.0000000000
102 -1939.0000000000
104 -1938.0000000000
108 -1937.0000000000
109 -1936.0000000000
120 -1935.0000000000
121 -1934.0000000000
124 -1933.0000000000
128 -1932.0000000000
130 -1931.0000000000
132 -1930.0000000000
143 -1929.0000000000
147 -1928.0000000000
148 -1927.0000000000
152 -1926.0000000000
159 -1925.0000000000
161 -1924.0000000000
167 -1923.0000000000
169 -1922.0000000000
176 -1921.0000000000
177 -1920.0000000000
181 -1919.0000000000
187 -1918.0000000000
188 -1917.0000000000
192 -1916.0000000000
193 -1914.0000000000
195 -1911.0000000000
196 -1910.0000000000
200 -1909.0000000000
202 -1907.0000000000
206 -1905.0000000000
208 -1904.0000000000
215 -1903.0000000000
217 -1902.0000000000
221 -1901.0000000000
223 -1899.0000000000
230 -1898.0000000000
231 -1897.0000000000
233 -1896.0000000000
241 -1895.0000000000
245 -1893.0000000000
246 -1892.0000000000
251 -1891.0000000000
253 -1889.0000000000
254 -1887.0000000000
257 -1885.0000000000
264 -1884.0000000000
270 -1883.0000000000
273 -1881.0000000000
281 -1880.0000000000
282 -1879.0000000000
284 -1878.0000000000
285 -1877.0000000000
289 -1876.0000000000
293 -1875.0000000000
302 -1874.0000000000
303 -1873.0000000000
310 -1872.0000000000
314 -1871.0000000000
316 -1870.0000000000
318 -1868.0000000000
320 -1867.0000000000
328 -1864.0000000000
329 -1863.0000000000
330 -1862.0000000000
332 -1860.0000000000
335 -1859.0000000000
342 -1858.0000000000
345 -1856.0000000000
354 -1855.0000000000
356 -1854.0000000000
358 -1853.0000000000
362 -1852.0000000000
367 -1850.0000000000
369 -1849.0000000000
372 -1848.0000000000
375 -1847.0000000000
376 -1845.0000000000
377 -1843.0000000000
378 -1842.0000000000
386 -1841.0000000000
390 -1840.0000000000
391 -1839.0000000000
394 -1838.0000000000
400 -1836.0000000000
411 -1835.0000000000
414 -1834.0000000000
417 -1829.0000000000
418 -1828.0000000000
420 -1826.0000000000
427 -1825.0000000000
430 -1824.0000000000
442 -1823.0000000000
444 -1822.0000000000
