evaluations raw_y
1 -284917.1000000000
4 -283149.1000000000
5 -281756.1000000000
7 -280933.1000000000
8 -279755.1000000000
14 -279529.1000000000
18 -278055.1000000000
19 -277665.1000000000
20 -277664.1000000000
25 -277515.1000000000
26 -277403.1000000000
33 -275509.1000000000
34 -272632.1000000000
37 -270767.1000000000
38 -270623.1000000000
39 -270470.1000000000
44 -269741.1000000000
47 -269641.1000000000
48 -268478.1000000000
49 -267755.1000000000
54 -267388.1000000000
56 -266913.1000000000
59 -265467.1000000000
62 -264733.1000000000
66 -261441.1000000000
67 -260707.1000000000
70 -260519.1000000000
74 -258675.1000000000
75 -258189.1000000000
76 -256289.1000000000
81 -255615.1000000000
89 -254022.1000000000
91 -253389.1000000000
96 -253022.1000000000
97 -252849.1000000000
100 -252493.1000000000
102 -250925.1000000000
106 -250564.1000000000
111 -249854.1000000000
114 -249266.1000000000
116 -249112.1000000000
118 -248124.1000000000
129 -247787.1000000000
137 -247197.1000000000
139 -247074.1000000000
140 -245456.1000000000
143 -244702.1000000000
144 -244397.1000000000
150 -244105.1000000000
151 -242829.1000000000
155 -239752.1000000000
159 -239552.1000000000
161 -237069.1000000000
162 -237067.1000000000
167 -237066.1000000000
172 -236380.1000000000
173 -231264.1000000000
174 -231233.1000000000
178 -229120.1000000000
180 -228120.1000000000
181 -225599.1000000000
188 -224666.1000000000
189 -224426.1000000000
208 -223938.1000000000
211 -222966.1000000000
214 -222191.1000000000
215 -220043.1000000000
220 -219886.1000000000
230 -216813.1000000000
248 -215436.1000000000
251 -213934.1000000000
261 -213274.1000000000
265 -212400.1000000000
268 -209084.1000000000
269 -207532.1000000000
277 -207506.1000000000
287 -207207.1000000000
288 -205845.1000000000
293 -202841.1000000000
305 -202637.1000000000
307 -202010.1000000000
320 -199143.1000000000
327 -198657.1000000000
337 -196739.1000000000
338 -196049.1000000000
339 -195487.1000000000
366 -194664.1000000000
374 -194354.1000000000
377 -194106.1000000000
382 -193761.1000000000
396 -190358.1000000000
412 -190279.1000000000
414 -189942.1000000000
423 -189174.1000000000
432 -188831.1000000000
437 -188327.1000000000
447 -187733.1000000000
453 -186249.1000000000
460 -182193.1000000000
465 -181459.1000000000
467 -180630.1000000000
470 -179277.1000000000
471 -177316.1000000000
472 -174426.1000000000
484 -174101.1000000000
485 -172633.1000000000
486 -170558.1000000000
487 -170458.1000000000
519 -167925.1000000000
532 -167814.1000000000
549 -167592.1000000000
550 -167112.1000000000
