evaluations raw_y
1 -364.0000000000
4 -357.0000000000
8 -352.0000000000
22 -339.0000000000
26 -334.0000000000
45 -328.0000000000
58 -327.0000000000
59 -325.0000000000
63 -318.0000000000
113 -307.0000000000
199 -306.0000000000
259 -301.0000000000
278 -298.0000000000
306 -295.0000000000
356 -292.0000000000
400 -290.0000000000
403 -286.0000000000
470 -283.0000000000
471 -281.0000000000
534 -279.0000000000
590 -273.0000000000
623 -271.0000000000
726 -266.0000000000
753 -263.0000000000
756 -259.0000000000
853 -242.0000000000
945 -240.0000000000
977 -239.0000000000
999 -237.0000000000
1065 -233.0000000000
1204 -232.0000000000
1224 -231.0000000000
1231 -227.0000000000
1234 -226.0000000000
1259 -225.0000000000
1355 -224.0000000000
1362 -223.0000000000
1379 -222.0000000000
1401 -221.0000000000
1404 -218.0000000000
1418 -217.0000000000
1420 -215.0000000000
1427 -214.0000000000
1448 -212.0000000000
1457 -210.0000000000
1487 -207.0000000000
1499 -206.0000000000
1517 -205.0000000000
1523 -200.0000000000
1561 -199.0000000000
1607 -195.0000000000
1610 -194.0000000000
1627 -193.0000000000
1641 -186.0000000000
1660 -182.0000000000
1685 -180.0000000000
1704 -179.0000000000
1736 -173.0000000000
1786 -172.0000000000
1813 -169.0000000000
1871 -167.0000000000
1879 -166.0000000000
1915 -165.0000000000
1934 -164.0000000000
1985 -163.0000000000
2016 -159.0000000000
2058 -158.0000000000
2086 -157.0000000000
2093 -156.0000000000
2172 -152.0000000000
2240 -151.0000000000
2250 -148.0000000000
2359 -147.0000000000
2374 -142.0000000000
2458 -141.0000000000
2485 -140.0000000000
2490 -139.0000000000
2507 -138.0000000000
2570 -137.0000000000
2613 -134.0000000000
2766 -133.0000000000
2832 -132.0000000000
2896 -128.0000000000
3044 -124.0000000000
3094 -123.0000000000
3146 -120.0000000000
3153 -119.0000000000
3371 -118.0000000000
3386 -117.0000000000
3408 -115.0000000000
3562 -114.0000000000
3653 -111.0000000000
3755 -108.0000000000
3858 -106.0000000000
3892 -104.0000000000
4175 -101.0000000000
4517 -99.0000000000
4586 -98.0000000000
5103 -97.0000000000
5223 -96.0000000000
5335 -95.0000000000
5408 -92.0000000000
5535 -91.0000000000
5604 -89.0000000000
5707 -87.0000000000
5757 -86.0000000000
5953 -84.0000000000
6155 -83.0000000000
6348 -82.0000000000
6442 -81.0000000000
6584 -80.0000000000
6623 -79.0000000000
6681 -75.0000000000
6876 -74.0000000000
7335 -70.0000000000
7545 -68.0000000000
7933 -66.0000000000
8312 -64.0000000000
8467 -63.0000000000
8969 -61.0000000000
9151 -60.0000000000
9396 -59.0000000000
9867 -58.0000000000
9981 -57.0000000000
10333 -56.0000000000
10729 -55.0000000000
10758 -53.0000000000
11826 -49.0000000000
12429 -46.0000000000
13151 -43.0000000000
13180 -42.0000000000
14135 -40.0000000000
14375 -39.0000000000
16088 -38.0000000000
18393 -37.0000000000
20407 -36.0000000000
20467 -33.0000000000
21172 -32.0000000000
24372 -31.0000000000
25294 -29.0000000000
33101 -28.0000000000
33646 -26.0000000000
36725 -25.0000000000
39664 -24.0000000000
49505 -23.0000000000
55136 -21.0000000000
58634 -20.0000000000
66430 -19.0000000000
67301 -18.0000000000
72369 -16.0000000000
85114 -15.0000000000
99238 -14.0000000000
100010 -24.0000000000
evaluations raw_y
1 -362.0000000000
3 -343.0000000000
25 -342.0000000000
27 -328.0000000000
52 -323.0000000000
85 -313.0000000000
100 -306.0000000000
157 -305.0000000000
185 -299.0000000000
247 -297.0000000000
277 -290.0000000000
332 -288.0000000000
342 -285.0000000000
353 -282.0000000000
388 -279.0000000000
510 -278.0000000000
526 -273.0000000000
655 -268.0000000000
698 -267.0000000000
720 -261.0000000000
748 -260.0000000000
841 -258.0000000000
876 -257.0000000000
985 -255.0000000000
992 -248.0000000000
1162 -247.0000000000
1178 -244.0000000000
1242 -243.0000000000
1261 -235.0000000000
1304 -234.0000000000
1361 -233.0000000000
1380 -230.0000000000
1410 -225.0000000000
1471 -224.0000000000
1499 -217.0000000000
1517 -214.0000000000
1538 -208.0000000000
1587 -207.0000000000
1599 -206.0000000000
1602 -204.0000000000
1605 -203.0000000000
1622 -200.0000000000
1623 -195.0000000000
1659 -194.0000000000
1680 -189.0000000000
1696 -187.0000000000
1720 -184.0000000000
1733 -182.0000000000
1770 -181.0000000000
1833 -177.0000000000
1883 -175.0000000000
1918 -174.0000000000
1927 -172.0000000000
1929 -167.0000000000
1965 -165.0000000000
2009 -162.0000000000
2049 -160.0000000000
2071 -159.0000000000
2075 -157.0000000000
2102 -156.0000000000
2129 -149.0000000000
2330 -148.0000000000
2370 -147.0000000000
2392 -146.0000000000
2408 -144.0000000000
2417 -143.0000000000
2436 -138.0000000000
2470 -137.0000000000
2491 -136.0000000000
2511 -135.0000000000
2534 -133.0000000000
2572 -132.0000000000
2615 -130.0000000000
2662 -128.0000000000
2687 -124.0000000000
2821 -123.0000000000
2831 -119.0000000000
2958 -118.0000000000
3109 -117.0000000000
3144 -116.0000000000
3228 -115.0000000000
3244 -113.0000000000
3363 -112.0000000000
3426 -111.0000000000
3524 -109.0000000000
3578 -107.0000000000
3813 -106.0000000000
3829 -105.0000000000
3883 -104.0000000000
3898 -103.0000000000
3916 -102.0000000000
3931 -99.0000000000
4109 -98.0000000000
4220 -97.0000000000
4245 -96.0000000000
4319 -95.0000000000
4564 -94.0000000000
4609 -93.0000000000
4668 -92.0000000000
4722 -90.0000000000
4972 -86.0000000000
5204 -83.0000000000
5522 -81.0000000000
6009 -79.0000000000
6552 -77.0000000000
6604 -76.0000000000
6915 -75.0000000000
6995 -73.0000000000
7058 -72.0000000000
7110 -70.0000000000
8179 -67.0000000000
8285 -65.0000000000
8413 -62.0000000000
8432 -61.0000000000
9641 -60.0000000000
10082 -59.0000000000
11313 -58.0000000000
11896 -57.0000000000
12277 -56.0000000000
12566 -55.0000000000
12865 -54.0000000000
13039 -52.0000000000
13539 -51.0000000000
14908 -50.0000000000
14974 -48.0000000000
16097 -47.0000000000
16194 -44.0000000000
18716 -43.0000000000
19511 -42.0000000000
20385 -41.0000000000
20544 -40.0000000000
21136 -39.0000000000
21923 -38.0000000000
23831 -36.0000000000
24879 -35.0000000000
25264 -34.0000000000
25606 -32.0000000000
25819 -31.0000000000
26547 -30.0000000000
27267 -29.0000000000
27747 -28.0000000000
30676 -27.0000000000
33897 -26.0000000000
37323 -25.0000000000
44258 -24.0000000000
49580 -23.0000000000
57827 -22.0000000000
60266 -21.0000000000
62098 -20.0000000000
62623 -19.0000000000
66385 -18.0000000000
70102 -16.0000000000
73046 -14.0000000000
84034 -13.0000000000
87086 -12.0000000000
90266 -11.0000000000
95474 -10.0000000000
100010 -18.0000000000
evaluations raw_y
1 -350.0000000000
12 -347.0000000000
27 -346.0000000000
32 -326.0000000000
41 -314.0000000000
80 -311.0000000000
117 -310.0000000000
132 -298.0000000000
242 -296.0000000000
245 -289.0000000000
269 -273.0000000000
471 -266.0000000000
496 -265.0000000000
575 -261.0000000000
604 -254.0000000000
738 -247.0000000000
830 -246.0000000000
887 -238.0000000000
986 -234.0000000000
1109 -233.0000000000
1199 -231.0000000000
1242 -230.0000000000
1256 -227.0000000000
1283 -222.0000000000
1351 -221.0000000000
1362 -218.0000000000
1392 -217.0000000000
1500 -215.0000000000
1510 -214.0000000000
1540 -211.0000000000
1551 -209.0000000000
1625 -208.0000000000
1666 -207.0000000000
1680 -202.0000000000
1693 -201.0000000000
1720 -198.0000000000
1735 -197.0000000000
1738 -194.0000000000
1756 -193.0000000000
1774 -192.0000000000
1787 -188.0000000000
1811 -182.0000000000
1836 -180.0000000000
1860 -178.0000000000
1891 -176.0000000000
1906 -174.0000000000
1962 -172.0000000000
1973 -171.0000000000
1988 -165.0000000000
2066 -164.0000000000
2076 -163.0000000000
2078 -158.0000000000
2130 -157.0000000000
2178 -151.0000000000
2223 -149.0000000000
2278 -145.0000000000
2305 -144.0000000000
2329 -142.0000000000
2404 -139.0000000000
2415 -138.0000000000
2488 -137.0000000000
2506 -134.0000000000
2648 -133.0000000000
2706 -131.0000000000
2719 -130.0000000000
2869 -125.0000000000
2938 -124.0000000000
2978 -122.0000000000
3014 -119.0000000000
3104 -117.0000000000
3156 -114.0000000000
3192 -113.0000000000
3268 -111.0000000000
3347 -109.0000000000
3425 -108.0000000000
3448 -107.0000000000
3474 -106.0000000000
3490 -104.0000000000
3543 -103.0000000000
3572 -102.0000000000
3593 -101.0000000000
3754 -98.0000000000
3839 -97.0000000000
3842 -96.0000000000
3864 -95.0000000000
3886 -94.0000000000
4013 -93.0000000000
4105 -90.0000000000
4109 -88.0000000000
4170 -87.0000000000
4352 -85.0000000000
4612 -83.0000000000
4706 -82.0000000000
4900 -81.0000000000
4922 -80.0000000000
5017 -79.0000000000
5120 -77.0000000000
5143 -74.0000000000
5184 -73.0000000000
5197 -72.0000000000
5234 -71.0000000000
5362 -70.0000000000
5586 -68.0000000000
