evaluations raw_y
1 -2016.0000000000
3 -1995.0000000000
4 -1980.0000000000
17 -1930.0000000000
36 -1918.0000000000
56 -1912.0000000000
57 -1901.0000000000
66 -1897.0000000000
107 -1887.0000000000
109 -1886.0000000000
111 -1878.0000000000
150 -1864.0000000000
167 -1854.0000000000
184 -1851.0000000000
217 -1849.0000000000
239 -1841.0000000000
243 -1839.0000000000
248 -1828.0000000000
268 -1826.0000000000
312 -1822.0000000000
330 -1811.0000000000
405 -1783.0000000000
430 -1773.0000000000
471 -1760.0000000000
602 -1755.0000000000
738 -1747.0000000000
751 -1744.0000000000
821 -1743.0000000000
842 -1735.0000000000
862 -1732.0000000000
878 -1723.0000000000
907 -1704.0000000000
957 -1700.0000000000
1078 -1699.0000000000
1093 -1681.0000000000
1176 -1679.0000000000
1232 -1674.0000000000
1267 -1671.0000000000
1276 -1666.0000000000
1293 -1660.0000000000
1353 -1656.0000000000
1404 -1645.0000000000
1410 -1634.0000000000
1500 -1626.0000000000
1511 -1614.0000000000
1552 -1613.0000000000
1574 -1607.0000000000
1622 -1600.0000000000
1626 -1597.0000000000
1644 -1592.0000000000
1658 -1589.0000000000
1668 -1588.0000000000
1676 -1586.0000000000
1679 -1585.0000000000
1708 -1570.0000000000
1734 -1567.0000000000
1743 -1566.0000000000
1749 -1565.0000000000
1792 -1564.0000000000
1808 -1558.0000000000
1816 -1557.0000000000
1839 -1555.0000000000
1877 -1548.0000000000
1910 -1545.0000000000
1996 -1544.0000000000
2021 -1542.0000000000
2044 -1540.0000000000
2057 -1536.0000000000
2072 -1534.0000000000
2086 -1531.0000000000
2102 -1529.0000000000
2116 -1526.0000000000
2118 -1523.0000000000
2127 -1512.0000000000
2130 -1511.0000000000
2168 -1503.0000000000
2191 -1498.0000000000
2219 -1494.0000000000
2230 -1491.0000000000
2258 -1490.0000000000
2273 -1482.0000000000
2299 -1480.0000000000
2304 -1475.0000000000
2325 -1472.0000000000
2332 -1458.0000000000
2360 -1457.0000000000
2428 -1454.0000000000
2437 -1453.0000000000
2462 -1452.0000000000
2469 -1451.0000000000
2471 -1450.0000000000
2481 -1446.0000000000
2530 -1432.0000000000
2561 -1427.0000000000
2598 -1423.0000000000
2618 -1422.0000000000
2623 -1420.0000000000
2640 -1418.0000000000
2701 -1416.0000000000
2789 -1415.0000000000
2811 -1411.0000000000
2835 -1409.0000000000
2931 -1406.0000000000
2983 -1395.0000000000
3031 -1385.0000000000
3060 -1383.0000000000
3105 -1374.0000000000
3188 -1372.0000000000
3210 -1371.0000000000
3315 -1369.0000000000
3406 -1368.0000000000
3415 -1366.0000000000
3521 -1364.0000000000
3538 -1362.0000000000
3599 -1343.0000000000
3725 -1339.0000000000
3755 -1328.0000000000
3921 -1327.0000000000
3936 -1323.0000000000
3967 -1322.0000000000
4043 -1318.0000000000
4390 -1317.0000000000
4513 -1310.0000000000
4523 -1304.0000000000
4680 -1302.0000000000
4716 -1301.0000000000
4790 -1297.0000000000
4826 -1296.0000000000
5018 -1291.0000000000
5204 -1286.0000000000
5272 -1284.0000000000
5314 -1282.0000000000
5551 -1280.0000000000
5840 -1277.0000000000
6007 -1276.0000000000
6035 -1275.0000000000
6170 -1273.0000000000
6288 -1271.0000000000
6516 -1269.0000000000
6847 -1261.0000000000
6939 -1259.0000000000
6954 -1257.0000000000
7238 -1256.0000000000
7313 -1254.0000000000
7553 -1252.0000000000
7685 -1250.0000000000
7803 -1249.0000000000
7921 -1247.0000000000
8014 -1245.0000000000
8110 -1244.0000000000
8165 -1240.0000000000
8308 -1235.0000000000
8474 -1227.0000000000
9054 -1225.0000000000
9206 -1223.0000000000
9453 -1220.0000000000
9541 -1217.0000000000
9708 -1215.0000000000
10010 -1227.0000000000
evaluations raw_y
1 -2011.0000000000
8 -1977.0000000000
16 -1970.0000000000
18 -1949.0000000000
39 -1935.0000000000
46 -1907.0000000000
73 -1895.0000000000
81 -1893.0000000000
83 -1890.0000000000
99 -1872.0000000000
112 -1871.0000000000
129 -1868.0000000000
158 -1864.0000000000
192 -1852.0000000000
201 -1848.0000000000
241 -1839.0000000000
273 -1820.0000000000
344 -1818.0000000000
398 -1811.0000000000
468 -1796.0000000000
472 -1794.0000000000
486 -1787.0000000000
493 -1780.0000000000
528 -1777.0000000000
588 -1771.0000000000
629 -1769.0000000000
671 -1765.0000000000
701 -1758.0000000000
736 -1748.0000000000
878 -1747.0000000000
880 -1746.0000000000
896 -1729.0000000000
1083 -1726.0000000000
1125 -1722.0000000000
1174 -1717.0000000000
1206 -1701.0000000000
1268 -1696.0000000000
1273 -1693.0000000000
1310 -1692.0000000000
1331 -1685.0000000000
1333 -1682.0000000000
1336 -1663.0000000000
1414 -1652.0000000000
1434 -1651.0000000000
1455 -1646.0000000000
1465 -1643.0000000000
1524 -1640.0000000000
1530 -1639.0000000000
