evaluations raw_y
1 -267386.1000000000
3 -265173.1000000000
23 -251561.1000000000
31 -249110.1000000000
57 -248060.1000000000
61 -247992.1000000000
64 -244966.1000000000
80 -236816.1000000000
82 -229948.1000000000
129 -229175.1000000000
172 -222294.1000000000
234 -220536.1000000000
257 -218324.1000000000
259 -217740.1000000000
332 -213984.1000000000
354 -212852.1000000000
408 -207614.1000000000
461 -207609.1000000000
465 -207179.1000000000
489 -205325.1000000000
515 -204767.1000000000
531 -204650.1000000000
535 -204595.1000000000
568 -202203.1000000000
588 -199258.1000000000
617 -198926.1000000000
672 -196424.1000000000
701 -194818.1000000000
764 -193606.1000000000
905 -191986.1000000000
933 -186466.1000000000
969 -183914.1000000000
981 -182684.1000000000
1015 -182000.1000000000
1067 -179862.1000000000
1069 -179050.1000000000
1141 -177818.1000000000
1162 -176833.1000000000
1196 -176249.1000000000
1270 -175736.1000000000
1347 -174683.1000000000
1357 -173821.1000000000
1377 -173603.1000000000
1404 -173390.1000000000
1406 -172250.1000000000
1435 -170601.1000000000
1462 -169789.1000000000
1528 -169659.1000000000
1537 -169458.1000000000
1542 -169078.1000000000
1553 -168122.1000000000
1558 -167814.1000000000
1569 -167436.1000000000
1581 -166872.1000000000
1622 -166746.1000000000
1623 -166409.1000000000
1632 -166293.1000000000
1636 -163479.1000000000
1672 -163202.1000000000
1677 -163119.1000000000
1687 -162248.1000000000
1701 -161832.1000000000
1736 26941.2897815305
1765 26974.5756677689
1784 26977.9472137416
1814 27008.7223066876
1830 27029.0088083291
1848 27063.7090750226
1861 27078.3711627382
1867 27733.0451865772
2003 27762.8201617066
2056 27826.6474753000
2057 27900.9879130338
2077 28095.9024179020
2090 28269.6893349057
2098 28334.1121259622
2116 28477.2647686380
2478 28514.3924876816
2504 28614.0429690882
2521 28831.7599416014
2579 28885.0921721513
2839 29314.4604453252
2928 29423.2962737124
3118 29453.7073089836
3154 29505.6431365401
3221 29599.4277537230
3231 30189.6262750429
3355 30281.5877578765
3402 30522.5989024530
3403 30733.1027883902
3721 30933.5579287143
4476 31189.0499372791
5062 31235.5180594995
5154 31251.4904611894
5199 31906.5803683271
5316 32143.6863090011
5831 32150.1374449923
5997 32330.1064917065
6132 32462.4426585234
6274 32565.8557657268
6499 32642.2019727622
6729 32739.6506508766
6833 32895.6920052332
6845 32924.4727433396
6945 32997.6492441586
6965 33049.0753363348
8063 33155.4535184217
8667 33288.0558222174
9452 33564.9652583707
9475 33649.9097101499
10010 -162493.1000000000
evaluations raw_y
1 -266806.1000000000
10 -258898.1000000000
23 -256600.1000000000
26 -255465.1000000000
31 -253776.1000000000
40 -248550.1000000000
47 -244278.1000000000
61 -238582.1000000000
84 -237989.1000000000
99 -228765.1000000000
121 -227512.1000000000
123 -227229.1000000000
131 -226909.1000000000
171 -226848.1000000000
196 -222334.1000000000
223 -219824.1000000000
257 -217329.1000000000
294 -213685.1000000000
384 -213641.1000000000
385 -211949.1000000000
419 -210782.1000000000
448 -210442.1000000000
449 -207324.1000000000
457 -207263.1000000000
542 -205286.1000000000
600 -204104.1000000000
665 -202992.1000000000
702 -196889.1000000000
769 -195983.1000000000
831 -193919.1000000000
881 -188712.1000000000
998 -187120.1000000000
1122 -183704.1000000000
1138 -180090.1000000000
1269 -179901.1000000000
1286 -179723.1000000000
1326 -175900.1000000000
1391 -175388.1000000000
1404 -175133.1000000000
1414 -174919.1000000000
