evaluations raw_y
1 0.0000000000
2 96.0000000000
5 203.0000000000
6 290.0000000000
7 446.0000000000
16 488.0000000000
29 517.0000000000
53 557.0000000000
88 593.0000000000
125 597.0000000000
228 601.0000000000
319 605.0000000000
349 607.0000000000
383 618.0000000000
1469 642.0000000000
2325 647.0000000000
3797 660.0000000000
7600 670.0000000000
10000 198.0000000000
evaluations raw_y
1 0.0000000000
2 94.0000000000
3 205.0000000000
4 384.0000000000
5 444.0000000000
7 524.0000000000
8 572.0000000000
25 611.0000000000
111 615.0000000000
126 631.0000000000
191 653.0000000000
352 655.0000000000
568 664.0000000000
10000 241.0000000000
evaluations raw_y
1 0.0000000000
4 267.0000000000
5 336.0000000000
11 387.0000000000
18 426.0000000000
24 471.0000000000
26 520.0000000000
36 523.0000000000
47 534.0000000000
99 554.0000000000
106 590.0000000000
184 623.0000000000
201 628.0000000000
565 638.0000000000
971 640.0000000000
1123 658.0000000000
10000 230.0000000000
evaluations raw_y
1 0.0000000000
2 111.0000000000
5 143.0000000000
7 212.0000000000
10 231.0000000000
11 262.0000000000
12 331.0000000000
16 388.0000000000
20 414.0000000000
21 520.0000000000
31 550.0000000000
32 556.0000000000
46 590.0000000000
57 592.0000000000
175 601.0000000000
277 602.0000000000
288 623.0000000000
357 633.0000000000
440 646.0000000000
1308 660.0000000000
3864 667.0000000000
10000 105.0000000000
evaluations raw_y
1 0.0000000000
3 133.0000000000
6 246.0000000000
10 407.0000000000
11 569.0000000000
37 594.0000000000
53 605.0000000000
55 610.0000000000
93 616.0000000000
434 631.0000000000
603 658.0000000000
1439 668.0000000000
8695 674.0000000000
10000 0.0000000000
