evaluations raw_y
1 0.0000000000
2 8.9800000000
3 9.6300000000
4 23.9500000000
5 24.4600000000
6 25.6100000000
7 40.8200000000
18 49.3200000000
27 66.3200000000
39 72.0400000000
40 104.0300000000
89 106.9100000000
116 108.9800000000
156 123.3500000000
202 133.7900000000
418 144.3400000000
628 161.1300000000
734 161.2600000000
1004 183.1000000000
2605 200.6200000000
3492 211.3100000000
3965 233.7300000000
10000 6.2700000000
evaluations raw_y
1 0.0000000000
2 14.9200000000
3 17.8900000000
5 25.0200000000
6 31.2800000000
7 41.5600000000
9 41.7300000000
20 58.5700000000
33 76.9700000000
36 80.1600000000
38 90.4400000000
65 91.2500000000
79 111.4100000000
360 125.8100000000
1215 147.4800000000
1784 187.4400000000
2277 216.6100000000
2373 238.5400000000
5980 242.6900000000
10000 12.4300000000
evaluations raw_y
1 0.0000000000
2 17.3000000000
3 31.9900000000
7 43.7000000000
8 77.3800000000
29 80.0400000000
65 86.0100000000
79 104.6600000000
138 195.4600000000
252 207.2600000000
338 226.4500000000
534 232.7600000000
668 247.9300000000
1121 250.3200000000
1423 255.2200000000
1710 277.7100000000
10000 0.0000000000
evaluations raw_y
1 0.0000000000
2 9.9700000000
3 15.2900000000
4 77.2100000000
9 89.7000000000
13 108.1300000000
25 114.6200000000
29 115.6900000000
60 118.9100000000
82 150.9200000000
566 152.4500000000
732 165.1100000000
802 201.8500000000
3321 205.1700000000
5919 210.7500000000
10000 12.8200000000
evaluations raw_y
1 0.0000000000
2 15.7400000000
4 18.0600000000
11 18.1000000000
19 26.6500000000
20 33.7800000000
21 34.1700000000
26 41.3600000000
29 55.2300000000
34 72.3800000000
87 76.1900000000
90 82.8500000000
100 88.4000000000
238 102.8700000000
403 106.8900000000
570 128.5000000000
725 134.3200000000
1010 147.5400000000
1041 158.1400000000
1284 160.6100000000
1507 165.6400000000
1585 175.1800000000
1926 186.1600000000
3691 197.3400000000
4279 209.8500000000
5028 254.4500000000
10000 9.3200000000
evaluations raw_y
1 0.0000000000
2 18.1500000000
3 24.0700000000
5 26.1500000000
8 33.1900000000
12 52.0400000000
13 62.5900000000
55 92.3900000000
77 117.5700000000
655 132.5100000000
706 139.0500000000
912 139.3300000000
944 153.7700000000
2072 164.7300000000
2606 194.8600000000
4676 198.6500000000
4957 230.0500000000
10000 2.3200000000
evaluations raw_y
1 0.0000000000
2 3.6600000000
3 12.3900000000
4 24.7200000000
5 25.2400000000
8 37.0100000000
9 40.2800000000
18 43.6400000000
44 50.6900000000
64 62.3900000000
99 79.1200000000
105 82.3100000000
181 100.7200000000
448 201.2900000000
2199 216.9700000000
5189 237.6600000000
5580 255.6800000000
5772 263.5400000000
10000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.7100000000
3 2.2300000000
5 3.4000000000
10 4.1600000000
11 14.1800000000
15 21.8500000000
17 27.5800000000
19 55.7100000000
20 87.2300000000
79 97.0600000000
190 97.5700000000
199 98.5500000000
220 116.6200000000
250 119.4700000000
282 124.5900000000
292 125.8700000000
302 131.3600000000
424 136.1300000000
522 138.3900000000
626 140.5100000000
1037 141.7300000000
1320 159.9400000000
1873 165.2800000000
2117 168.2200000000
3207 170.3400000000
6095 195.6800000000
8454 203.0900000000
9412 203.1400000000
10000 21.7300000000
evaluations raw_y
1 0.0000000000
2 17.0900000000
5 33.9400000000
7 35.3500000000
11 63.7800000000
38 72.8900000000
58 80.5100000000
190 115.7800000000
776 116.3000000000
815 126.1900000000
1230 139.8900000000
1249 142.0900000000
1513 151.8200000000
1744 207.8100000000
1762 209.6000000000
2507 214.5800000000
3206 224.7400000000
3684 240.2300000000
8051 249.5100000000
10000 0.0000000000
evaluations raw_y
1 0.0000000000
2 8.3400000000
4 37.8000000000
47 49.1700000000
52 49.3400000000
74 58.9100000000
97 99.3000000000
136 111.9000000000
190 119.4200000000
358 122.2400000000
517 130.9600000000
1269 188.6600000000
1740 199.9600000000
2146 224.3100000000
4420 228.3400000000
5719 237.6200000000
7250 243.6200000000
10000 16.2700000000
evaluations raw_y
1 0.0000000000
2 107.8800000000
4 111.7100000000
5 112.9600000000
6 113.0600000000
7 126.1300000000
11 127.7200000000
13 131.0900000000
16 147.5900000000
17 149.4700000000
20 150.4100000000
26 172.5000000000
81 190.6600000000
97 191.9400000000
227 192.5400000000
352 212.2800000000
530 246.5600000000
876 255.7400000000
2324 256.7100000000
10000 18.5600000000
evaluations raw_y
1 0.0000000000
2 9.6300000000
6 21.9700000000
7 32.0700000000
8 33.7300000000
9 60.7000000000
30 65.9300000000
42 71.5200000000
430 159.8000000000
545 180.8900000000
674 184.8800000000
791 186.7300000000
3548 193.3500000000
5030 198.0400000000
10000 32.4100000000
evaluations raw_y
1 0.0000000000
2 23.7600000000
11 24.8600000000
12 29.2600000000
13 29.5700000000
14 35.3100000000
18 41.1900000000
28 46.7700000000
30 61.1900000000
34 61.5100000000
54 63.9700000000
55 72.9100000000
87 97.2800000000
98 102.2800000000
183 104.7200000000
235 119.2800000000
1800 131.9300000000
1891 201.2400000000
2117 208.1300000000
2971 211.8900000000
3352 214.2900000000
4894 218.4000000000
6377 220.8000000000
8328 224.6900000000
10000 20.6900000000
evaluations raw_y
1 0.0000000000
2 9.1800000000
5 17.8400000000
13 17.9200000000
14 22.7900000000
16 40.5500000000
22 82.9700000000
47 86.6700000000
65 107.5000000000
91 123.0800000000
110 139.7600000000
150 148.4500000000
2124 196.0400000000
3906 201.7400000000
4161 212.3900000000
4359 215.9200000000
4670 223.3600000000
4738 227.6800000000
5164 251.7000000000
10000 33.6300000000
evaluations raw_y
1 0.0000000000
2 17.3200000000
3 49.2800000000
4 61.2900000000
8 64.5500000000
9 82.9900000000
30 88.3200000000
32 100.9200000000
34 103.9900000000
37 109.0400000000
47 113.7400000000
83 152.0700000000
84 167.0100000000
163 168.3000000000
177 170.7200000000
209 195.8200000000
241 219.9700000000
515 229.2900000000
571 235.4900000000
590 243.5100000000
635 255.0300000000
4376 258.0300000000
10000 16.8500000000
evaluations raw_y
1 0.0000000000
2 27.5100000000
3 32.2000000000
4 39.8200000000
5 47.0200000000
6 52.9700000000
7 87.0700000000
16 95.1800000000
17 99.5000000000
80 100.3600000000
127 102.5900000000
138 104.1000000000
229 106.1900000000
230 109.6200000000
309 113.6800000000
575 192.6500000000
1129 199.6800000000
1285 5.3000000000
