evaluations raw_y
1 -2569.0000000000
6 -1838.0000000000
8 -946.0000000000
74 -945.0000000000
95 -944.0000000000
153 -943.0000000000
170 -942.0000000000
294 -941.0000000000
363 -940.0000000000
512 -939.0000000000
673 -938.0000000000
737 -936.0000000000
818 -935.0000000000
895 -934.0000000000
953 -933.0000000000
1068 -932.0000000000
1075 -930.0000000000
1149 -929.0000000000
1278 -927.0000000000
1288 -926.0000000000
1450 -925.0000000000
1539 -923.0000000000
1579 -922.0000000000
1636 -921.0000000000
1679 -919.0000000000
1717 -918.0000000000
1899 -917.0000000000
1947 -916.0000000000
2026 -915.0000000000
2053 -913.0000000000
2077 -912.0000000000
2254 -910.0000000000
2303 -909.0000000000
2336 -908.0000000000
2352 -907.0000000000
2421 -906.0000000000
2613 -905.0000000000
2682 -904.0000000000
2731 -903.0000000000
2749 -901.0000000000
2775 -900.0000000000
2799 -899.0000000000
2913 -898.0000000000
2978 -897.0000000000
3178 -896.0000000000
3276 -895.0000000000
3336 -894.0000000000
3424 -893.0000000000
3475 -892.0000000000
3583 -891.0000000000
3695 -890.0000000000
3857 -889.0000000000
3884 -887.0000000000
3911 -886.0000000000
3926 -884.0000000000
4071 -883.0000000000
4087 -882.0000000000
4093 -881.0000000000
4283 -880.0000000000
4437 -879.0000000000
4479 -878.0000000000
4497 -877.0000000000
4518 -876.0000000000
4734 -875.0000000000
4754 -874.0000000000
4765 -873.0000000000
4784 -872.0000000000
4964 -871.0000000000
5081 -870.0000000000
5239 -868.0000000000
5272 -867.0000000000
5326 -866.0000000000
5481 -865.0000000000
5620 -863.0000000000
5646 -862.0000000000
5748 -861.0000000000
5769 -860.0000000000
5825 -859.0000000000
5949 -858.0000000000
6015 -857.0000000000
6048 -856.0000000000
6193 -855.0000000000
6201 -854.0000000000
6379 -853.0000000000
6386 -852.0000000000
6432 -850.0000000000
6444 -849.0000000000
6464 -848.0000000000
6553 -847.0000000000
6673 -846.0000000000
6693 -845.0000000000
6758 -844.0000000000
6762 -843.0000000000
6788 -842.0000000000
6946 -841.0000000000
7134 -839.0000000000
7208 -838.0000000000
7270 -837.0000000000
7277 -836.0000000000
7365 -835.0000000000
7580 -834.0000000000
7691 -833.0000000000
7706 -832.0000000000
7764 -831.0000000000
7802 -830.0000000000
7819 -829.0000000000
7844 -828.0000000000
7862 -827.0000000000
8133 -826.0000000000
8168 -825.0000000000
8173 -824.0000000000
8330 -823.0000000000
8560 -822.0000000000
8626 -821.0000000000
8711 -820.0000000000
8722 -819.0000000000
8805 -818.0000000000
8810 -817.0000000000
8945 -816.0000000000
8948 -815.0000000000
9013 -814.0000000000
9106 -813.0000000000
9148 -812.0000000000
9290 -811.0000000000
9418 -810.0000000000
9425 -809.0000000000
9468 -808.0000000000
9490 -807.0000000000
9570 -806.0000000000
9612 -805.0000000000
9640 -804.0000000000
9964 -803.0000000000
10000 -1468.0000000000
evaluations raw_y
1 -107.0000000000
391 -106.0000000000
560 -105.0000000000
988 -104.0000000000
993 -103.0000000000
1205 -102.0000000000
1362 -101.0000000000
1971 -100.0000000000
2347 -99.0000000000
3185 -98.0000000000
3301 -97.0000000000
3476 -96.0000000000
3659 -95.0000000000
4426 -94.0000000000
4571 -93.0000000000
5547 -92.0000000000
7428 -91.0000000000
7440 -90.0000000000
7945 -89.0000000000
8001 -88.0000000000
8597 -87.0000000000
8851 -86.0000000000
10000 -436.0000000000
evaluations raw_y
1 -1623.0000000000
4 -1313.0000000000
5 41.8400000000
12 335.1100000000
392 348.4600000000
6482 363.7200000000
10000 -1418.0000000000
