evaluations raw_y
1 -317.0000000000
2 -110.0000000000
5 -70.0000000000
7 253.0000000000
24 393.0000000000
4746 394.0000000000
10000 -79.0000000000
evaluations raw_y
1 -9.0000000000
2957 -8.0000000000
4831 -7.0000000000
7433 -6.0000000000
10000 -166.0000000000
evaluations raw_y
1 -199.0000000000
9 -132.0000000000
16 -26.0000000000
1005 -25.0000000000
2011 -24.0000000000
3340 -23.0000000000
3665 -22.0000000000
3776 -21.0000000000
3858 -20.0000000000
4712 -19.0000000000
5130 -18.0000000000
5910 -17.0000000000
6973 -16.0000000000
10000 -161.0000000000
